dive,time,vertSpeed,horzSpeed,speed,speed_qc,glideAngle,buoyancy,north_displacement,east_displacement
1,1769646836,0,0,0,1,0,NaN,-0,0
1,1769646838,0,0,0,8,0,NaN,-0,0
1,1769646843,0,0,0,8,0,NaN,-0,0
1,1769646848,0,0,0,1,0,NaN,-0,0
1,1769646853,0,0,0,1,0,NaN,-0,0
1,1769646858,0,0,0,1,0,NaN,-0,0
1,1769646863,0,0,0,8,0,157.794636821123,-0,0
1,1769646868,0,0,0,1,0,115.262579812863,-0,0
1,1769646873,0,0,0,1,0,71.5893805815579,-0,0
1,1769646878,0,0,0,8,0,28.0892368672565,-0,0
1,1769646883,-15.7123823508805,4.57515815703568,16.3649329757916,1,-73.7654068646815,-15.3306745600845,-0.218492428471932,0.0680669419529076
1,1769646888,-25.5971079454966,7.34343334111042,26.629644166018,1,-73.9925941862976,-56.7480074394694,-0.356962617957233,0.0853516246318179
1,1769646893,-35.9959355280158,10.1773765563253,37.4070363448685,1,-74.2124485649974,-100.765632801513,-0.509057976427232,-0.00382687300372342
1,1769646898,-45.2055059899953,12.9208143750665,47.0157975145209,1,-74.0487974145356,-141.556768127104,-0.645101593952528,0.0296435464939947
1,1769646903,-51.8219643503237,15.4744026719252,54.0830206920722,1,-73.3740053812908,-184.857337156263,-0.771582727017312,-0.0614972831470705
1,1769646908,-54.7991093193694,18.3231658488658,57.7813186845129,1,-71.5116224495951,-193.057306709937,-0.915492441210312,-0.0234160848556413
1,1769646913,-54.0518187766816,22.0173277424661,58.3640457301102,1,-67.8370940161876,-194.464491067202,-1.09940540156712,-0.0175417731767259
1,1769646918,-49.8407658109521,26.4121095599765,56.4065729151344,1,-62.0795482380373,-194.950923955636,-1.31622941706889,-0.116757831607972
1,1769646923,-42.9136299686442,30.9103397821127,52.8869430250168,1,-54.2350998739301,-193.418154622061,-1.5397574920148,-0.125932617325871
1,1769646928,-34.6997794826973,34.582805221832,48.9902552877508,1,-45.0967360718358,-220.114271300087,-1.72686103986837,-0.101338652818478
1,1769646933,-26.7324093221121,36.5806825921645,45.3074833451786,1,-36.1585653054905,-249.471030969098,-1.82189040342629,-0.161496765215062
1,1769646938,-20.2955987864993,36.9211477925916,42.1317277645356,1,-28.7976475980859,-252.381473909977,-1.8320989240944,-0.226586447384069
1,1769646943,-15.8874382926379,36.1981006568182,39.5311672818236,1,-23.696792328803,-252.547781050055,-1.78999182750074,-0.274986544465109
1,1769646948,-13.3169145946293,35.0905205287044,37.5324505634268,1,-20.7818423149387,-252.412949138752,-1.72063844473924,-0.337745419542584
1,1769646953,-11.9936562777222,34.144085630709,36.1893129869211,1,-19.3546409874158,-252.483395753423,-1.65861997909269,-0.411531392036869
1,1769646958,-11.2989923828834,33.5190582692605,35.3722277518188,1,-18.6285284434402,-252.630038680143,-1.60475156009528,-0.483312112942522
1,1769646963,-10.8947371837795,33.124010838856,34.8696916011065,1,-18.2064256744151,-252.58794492268,-1.55943845555999,-0.554852740895995
1,1769646968,-10.6450318171035,32.8690962362887,34.5498797360795,1,-17.9451377220831,-252.534071200718,-1.51938483855525,-0.625566129320934
1,1769646973,-10.4984432846336,32.7159120275612,34.3591066705144,1,-17.7912882218719,-252.385071396904,-1.48236919130545,-0.690897013925224
1,1769646978,-10.3920060183097,32.6017784408422,34.2179740281383,1,-17.6799827224663,-252.617322869248,-1.44066532802952,-0.763371607784346
1,1769646983,-10.2971987404198,32.4971305002443,34.0895261429315,1,-17.5815789483489,-252.530388106229,-1.37868857109345,-0.858641368255171
1,1769646988,-10.223378147153,32.4142465671214,33.9882456336573,1,-17.5051535208171,-252.462469051943,-1.33792623824301,-0.915266379032435
1,1769646993,-10.159651525923,32.3421944507373,33.9003843786098,1,-17.4390650696409,-252.419372069497,-1.26576126460354,-1.00642549438719
1,1769646998,-10.1268161059203,32.3043324664347,33.8544280788359,1,-17.4052518272748,-252.170908095205,-1.18202709979915,-1.10173696061564
1,1769647003,-10.1449307979439,32.324901205571,33.8794754806652,1,-17.4240788593683,-252.339671924252,-1.12800746023915,-1.15887129367585
1,1769647008,-10.1901147224067,32.3772381644842,33.9429519814577,1,-17.4703955667088,-252.372484609614,-1.05615240226216,-1.22603424960489
1,1769647013,-10.2512321424538,32.4495156097518,34.0302633511115,1,-17.5320172438937,-252.499311076107,-0.962217005603763,-1.30635603584771
1,1769647018,-10.3331299088085,32.5449622860062,34.1459828370758,1,-17.614810238832,-252.612460190635,-0.893805932137452,-1.36057561362177
1,1769647023,-10.3993296684708,32.6221092054096,34.2395687263027,1,-17.6813269133736,-252.675152143382,-0.799039975140627,-1.4219845782045
1,1769647028,-10.4492046342757,32.6803960312986,34.310263220376,1,-17.7311173781307,-253.185192463693,-0.640943567715871,-1.50235702158265
1,1769647033,-10.4937314939967,32.7304376642857,34.3714990997453,1,-17.7764110231849,-252.685754874424,-0.571090153863841,-1.53434114415848
1,1769647038,-10.5273476336892,32.7686760054967,34.4181808838549,1,-17.8102656839437,-252.682210587638,-0.50598114761028,-1.55765895143909
1,1769647043,-10.568769849445,32.8164299036014,34.4763247424739,1,-17.8515316069,-252.89561596099,-0.370100219288573,-1.59853714587041
1,1769647048,-10.6156246439053,32.8712537160744,34.5428836006322,1,-17.897630799695,-253.051007423999,-0.241524493061364,-1.62571960110524
1,1769647053,-10.6836964799844,32.9493257225861,34.6381211391367,1,-17.9650939158358,-253.154557781886,-0.125448213056866,-1.64334400011975
1,1769647058,-10.7476254118323,33.0223178624628,34.7272937183794,1,-18.0282818203996,-253.144359608614,0.0318731525857602,-1.65014770305982
1,1769647063,-10.7962714009901,33.0782606474438,34.7955572397406,1,-18.0759424033516,-253.490036620738,0.189038316329235,-1.64207529712828
1,1769647068,-10.8265765983094,33.1130480132131,34.8380353861181,1,-18.1055717620972,-253.460048960147,0.231399269151025,-1.64040534068298
1,1769647073,-10.793814298705,33.0808500821985,34.7972566343357,1,-18.0707733937929,-253.346606018058,0.286407358552103,-1.62905722133062
1,1769647078,-10.7276836931673,33.012731148389,34.7120096695144,1,-18.0018792547565,-253.458670829879,0.267754876933138,-1.62777142354778
1,1769647083,-10.6581034052416,32.9399059873391,34.6212734406399,1,-17.9296124251847,-253.41346418449,0.200090533508267,-1.63612319960952
1,1769647088,-10.5850891325874,32.8633633438306,34.5260012485294,1,-17.8534334869294,-253.554032592803,0.25415585510387,-1.62306087766287
1,1769647093,-10.5289973598966,32.8039625672717,34.452282152561,1,-17.7949285725274,-253.38362221963,0.204832006580555,-1.62801911035331
1,1769647098,-10.5127170712176,32.7872369597126,34.4313828893325,1,-17.7776392680693,-253.407805424016,0.211981462162654,-1.62559869842783
1,1769647103,-10.5060830690866,32.7814665265057,34.4238627856166,1,-17.7700572182744,-253.477475214714,0.177393244075691,-1.6287861561591
1,1769647108,-10.5198163175426,32.7976753780019,34.4434906122424,1,-17.7835831045918,-253.663178996401,0.148205019119329,-1.63317299996351
1,1769647113,-10.5717032454342,32.8553182121777,34.5142411814744,1,-17.8363767260954,-253.598728470859,0.163600270514061,-1.63492944501389
1,1769647118,-10.599410870897,32.8879293634714,34.5537756059562,1,-17.8635491615079,-253.551277341048,0.145118566695066,-1.63765042569679
