dive,startTime,startLatitude,startLongitude,endTime,endLatitude,endLongitude,duration_hr,distance_km,maxDepth_m,dac_n,dac_e,dac_n_gsm,dac_e_gsm,dac_qc,avg_speed_n,avg_speed_e,avg_speed_n_gsm,avg_speed_e_gsm,hdm_qc
1,1769646802,21.2000666666667,-158.1415,1769648138,21.1970166666667,-158.141683333333,0.371111111111111,0.339676682959621,48.7795571424541,-0.230103466385214,0.126871574958416,-0.235582361806753,0.153127013393048,4,-0.0272188222924978,-0.141292398399887,-0.0217399268709584,-0.167547836834519,1
2,1769650000,21.19335,-158.13825,1769651940,21.1914333333333,-158.139333333333,0.538888888888889,0.240907123713953,101.396882164858,-0.159790082452753,0.0743442280495508,-0.170012085792715,0.100442100568913,4,0.0488134380466262,-0.132828116629436,0.0590354413865882,-0.158925989148799,1
3,1769652881,21.1896666666667,-158.137383333333,1769660260,21.1991,-158.142333333333,2.04972222222222,1.16774605970191,360.726490049405,0.0249894938729646,0.00173816980448373,0.0182896155176762,0.00415640140517296,3,0.121701831406154,-0.0735056556936781,0.128401709761442,-0.0759238872943673,1
4,1769660732,21.1983,-158.14165,1769668262,21.1978166666667,-158.153983333333,2.09166666666667,1.27973851016764,363.063024683967,-0.0208332484301469,-0.016281550722796,-0.0152049533680522,-0.00286867250009434,3,0.0136723379048912,-0.154081123566146,0.00804404284279642,-0.167494001788847,1
5,1769668579,21.1977,-158.153316666667,1769679392,21.1993,-158.1671,3.00361111111111,1.43996128202619,543.74120405588,0.0241263687421292,0.0102511597367355,0.0244532676635055,0.0120170124127124,4,-0.00763065674013674,-0.142739153434239,-0.00795755566151303,-0.144505006110216,1
6,1769679649,21.1992833333333,-158.16625,1769690791,21.207,-158.189916666667,3.095,2.5991806565938,548.459998215442,0.0812783404863348,0.00364622706374609,0.0908863470655226,0.000514621597197585,1,-0.0040624531556816,-0.224432238532353,-0.0136704597348694,-0.221300633065805,1
7,1769694701,21.2013833333333,-158.18415,1769701558,21.1960333333333,-158.20045,1.90472222222222,1.7914867133298,365.559366366677,0.00609418096290207,-0.0416707817720849,0.0041949211866786,-0.0245783141227073,3,-0.0931614137577069,-0.20564915852747,-0.0912621539814834,-0.222741626176848,1
8,1769701825,21.1959166666667,-158.200133333333,1769708638,21.1973166666667,-158.213533333333,1.8925,1.39790054134698,362.893303862695,-0.00277252254620005,0.0172327475233915,0.0146562640064416,0.00687325978842475,1,0.0257078119128837,-0.221904403882326,0.00827902536024207,-0.211544916147359,1
9,1769709135,21.1971833333333,-158.21295,1769723461,21.1917166666667,-158.241283333333,3.97944444444444,2.99965401201602,724.610894848418,-0.0298079078831726,0.0292372650009113,-0.0262330017297272,0.0280783008623096,1,-0.0127193836901938,-0.234743919229621,-0.0162942898436392,-0.233584955091019,1
10,1769723816,21.1917666666667,-158.240133333333,1769737082,21.20095,-158.2649,3.685,2.76321859172592,724.301798762347,0.0411890597594531,0.0260451027575267,0.0398046099796657,0.029527317200421,1,0.0359840986609459,-0.220093903184317,0.0373685484407332,-0.223576117627212,1
11,1769737423,21.2000666666667,-158.264283333333,1769750701,21.1992166666667,-158.291683333333,3.68833333333333,2.84212803446671,723.11544666478,0.0609613226692036,-0.00747845185191012,0.06243157555744,-0.00429116011002393,1,-0.0680966723554465,-0.206965955147467,-0.0695669252436829,-0.210153246889353,1
12,1769751034,21.1987666666667,-158.291083333333,1769767441,21.1797666666667,-158.318616666667,4.5575,3.55135725240532,993.933518055003,-0.0153419630000423,0.0464540224647965,-0.0189735292635839,0.0422942963610742,1,-0.113702735760564,-0.220812745170622,-0.110071169497023,-0.216653019066899,1
13,1769767971,21.1793166666667,-158.31775,1769783251,21.2155,-158.301233333333,4.24444444444444,4.37261585489448,998.432712153821,0.0111884788844163,0.106499375280463,-0.00190304115317878,0.108839776563682,1,0.252735319914442,0.00582312834881435,0.265826839952037,0.00348272706559515,1
14,1769783603,21.2141666666667,-158.301133333333,1769799460,21.2527833333333,-158.289816666667,4.40472222222222,4.45129247315916,996.83767433673,0.0360951659064204,0.152043677942138,0.0348809814038476,0.15277171924197,1,0.235268433289681,-0.0779188668263228,0.236482617792253,-0.0786469081261544,1
15,1769799824,21.25275,-158.289283333333,1769815361,21.2874,-158.2851,4.31583333333333,3.87721222804915,998.776619339453,0.0151408298237057,0.191919164637041,0.00770813338614653,0.198287477020333,1,0.233350102164089,-0.163962191341874,0.240782798601648,-0.170330503725166,1
16,1769815713,21.2869,-158.2849,1769830961,21.3285833333333,-158.29715,4.23555555555556,4.80556130215899,994.881875180263,0.136246728198259,0.137788760421335,0.127560350407879,0.15006196371582,1,0.168389213061184,-0.22119603127447,0.177075590851563,-0.233469234568955,1
17,1769831310,21.3293333333333,-158.297683333333,1769846881,21.3817666666667,-158.298383333333,4.32527777777778,5.83077130642499,997.297966162442,0.17555678404807,0.174625013936222,0.170506454766806,0.179010474992636,1,0.199739976444123,-0.17929131756102,0.204790305725386,-0.183676778617435,1
18,1769847271,21.3826333333333,-158.297683333333,1769862661,21.422,-158.294266666667,4.275,4.39164157574488,996.68779778468,0.0575018227720169,0.148801933847821,0.050006418555822,0.157039158031872,1,0.227597986167643,-0.125764201453718,0.235093390383838,-0.134001425637768,1
19,1769863042,21.4218,-158.295266666667,1769870440,21.4456833333333,-158.297783333333,2.055,2.66844995697638,509.201287998534,0.144049164194306,0.0892361610516467,0.144179074781268,0.0934191525071662,1,0.21629998803946,-0.124581297430907,0.216170077452498,-0.128764288886426,1
20,1769870725,21.44625,-158.298816666667,1769878040,21.4706666666667,-158.2987,2.03194444444444,2.71503630391796,502.614741731771,0.162558656602447,0.0535692098398104,0.17144591971231,0.0541638290767202,1,0.219799482515625,-0.0518688824152955,0.210912219405763,-0.0524635016522053,1
21,1769878320,21.4718666666667,-158.299533333333,1769885610,21.4925666666667,-158.298633333333,2.025,2.30361799743496,505.228358905403,0.147933679314488,0.0147020891170126,0.150933394321292,0.0252576526908391,1,0.168833156376328,-0.00188637398134055,0.165833441369524,-0.0124419375551671,1
22,1769885899,21.4934166666667,-158.2989,1769893131,21.5168666666667,-158.294566666667,2.00888888888889,2.64577769678393,505.4072424841,0.113210001533982,0.0790274100841647,0.117111233637739,0.0784991374620683,1,0.248687189343672,-0.0168078393227986,0.244785957239914,-0.0162795667007022,1
23,1769893424,21.5167833333333,-158.294316666667,1769900350,21.5300333333333,-158.301533333333,1.92388888888889,1.65165708977374,501.62481266361,0.0911253672976527,0.16665410859633,0.0964774339021924,0.159754881278913,1,0.128740800251856,-0.278054609059957,0.123388733647317,-0.27115538174254,1
24,1769900866,21.5295333333333,-158.29925,1769908112,21.5258166666667,-158.3133,2.01277777777778,1.51092312678536,505.955337370379,0.0806567939777561,0.0830145620833446,0.0822763945607234,0.0747111947556506,1,-0.13788036655146,-0.284244638219766,-0.139499967134427,-0.275941270892072,1
25,1769908647,21.52625,-158.31255,1769915808,21.5294,-158.329,1.98916666666667,1.73723043582348,507.871171391138,0.153630398450012,0.0757288543009874,0.152054607428842,0.071278922071496,1,-0.104533571941314,-0.314237174203265,-0.102957780920144,-0.309787241973773,1
26,1769916511,21.5315666666667,-158.329366666667,1769923921,21.52875,-158.352933333333,2.05833333333333,2.45768576972981,504.987353967098,0.189332660016607,-0.0936090704168631,0.188257596152849,-0.0928023653495312,1,-0.23174839282171,-0.236515208473139,-0.230673328957952,-0.237321913540471,1
