profile_index,profile_direction,profile_phase,start_time,end_time,start_depth,end_depth,min_depth,max_depth,depth_range,min_lon,max_lon,min_lat,max_lat,distance_traveled,num_points,time_at_surface_s,profile_duration_s
0.5,0.0,surfacing,2026-01-28 23:55:32.630000128,2026-01-28 23:58:40.063000064,0.0,0.0,0.0,2.9565601348876953,2.9565601348876953,-158.14806833333665,-158.14793666666995,21.204078332718154,21.20422833271817,,226,187,187.432999936
1.0,1.0,descent,2026-01-28 23:58:40.382999808,2026-01-29 00:01:12.382999808,0.6218595504760742,29.729249954223633,0.6218595504760742,29.729249954223633,29.10739040374756,-158.14812069760043,-158.14798333333664,21.2035981718622,21.204073332718146,,188,16,152.0
1.5,0.0,inflection,2026-01-29 00:01:13.027000064,2026-01-29 00:01:21.032000000,30.0783634185791,29.903806686401367,29.663789749145508,30.0783634185791,0.41457366943359375,-158.14810889997173,-158.14808769971012,21.203559178928337,21.20359080199231,,11,0,8.004999936
2.0,-1.0,ascent,2026-01-29 00:01:21.382999808,2026-01-29 00:04:04.540999936,29.751070022583008,2.389249801635742,2.389249801635742,29.751070022583008,27.361820220947266,-158.14808144388851,-158.14801504865954,21.203453710503013,21.203549656675243,,203,8,163.158000128
2.5,0.0,surfacing,2026-01-29 00:04:05.308999936,2026-01-29 00:15:13.065999872,0.0,0.0,0.0,4.133840560913086,4.133840560913086,-158.1477633333366,-158.14649833333667,21.202019999384575,21.203204999384713,,641,667,667.756999936
3.0,1.0,descent,2026-01-29 00:15:13.769999872,2026-01-29 00:20:14.769999872,0.24830329418182373,59.470001220703125,0.24830329418182373,59.470001220703125,59.2216979265213,-158.14648166666998,-158.14638855073434,21.20138493527567,21.201996666051233,,374,20,301.0
3.5,0.0,inflection,2026-01-29 00:20:15.085999872,2026-01-29 00:20:35.181999872,59.97206497192383,60.43047332763672,59.75377655029297,60.43047332763672,0.67669677734375,-158.14641167448994,-158.14635666019987,21.201312980743182,21.20138569205795,,26,0,20.096
4.0,-1.0,ascent,2026-01-29 00:20:35.769999872,2026-01-29 00:25:26.680000000,60.08121109008789,1.994612216949463,1.994612216949463,60.08121109008789,58.08659887313843,-158.1464176129002,-158.1462879928916,21.2009729683237,21.201304560363315,,362,8,290.910000128
4.5,0.0,surfacing,2026-01-29 00:25:27.548999936,2026-01-29 00:31:46.044000000,0.0,0.0,0.0,2.5637269020080566,2.5637269020080566,-158.14682000000332,-158.14670333333666,21.201139999384456,21.201254999384492,,426,378,378.495000064
5.0,1.0,descent,2026-01-29 00:31:46.520000000,2026-01-29 00:44:57.897000192,2.323718547821045,108.14563751220703,0.0,108.14563751220703,108.14563751220703,-158.14618770202134,-158.1455608272434,21.199690921442446,21.200299999384363,,831,204,791.377000192
