time,time_utc,latitude,longitude,depth,conductivity,temperature,pressure,salinity,density,potential_temperature,potential_density
1769648778,2026-01-29 01:06:18.000000000,21.198825397518487,-158.14606547226714,0.0496910734760573,5.398920059204102,25.591699600219727,0.04999999888241291,35.21960484999584,1023.2024934401285,25.591688568716318,1023.3275030698645
1769648780,2026-01-29 01:06:20.000000000,21.198826230435344,-158.14606297351656,0.10932034756321711,5.399129867553711,25.589500427246094,0.10999999940395355,35.22282816873736,1023.2058096301507,25.589476159164523,1023.3306201767479
1769648782,2026-01-29 01:06:22.000000000,21.198827063352198,-158.146060474766,0.16894961352218005,5.399050235748291,25.591999053955078,0.17000000923871994,35.22029133814241,1023.2034174060998,25.59196154637262,1023.3279367040319
1769648784,2026-01-29 01:06:24.000000000,21.19882789626905,-158.1460579760154,0.2683316663209441,5.399159908294678,25.59980010986328,0.27000000700354576,35.21503103865887,1023.1975447099719,25.59974052673613,1023.3215599589378
1769648786,2026-01-29 01:06:26.000000000,21.198828332717525,-158.1460534972986,0.26833166631366484,5.399310111999512,25.608200073242188,0.27000000700354576,35.20963824473807,1023.1909648417496,25.608140476917526,1023.3148907197346
1769648788,2026-01-29 01:06:28.000000000,21.198828332717525,-158.14604683895465,0.26833166631366484,5.399380207061768,25.595600128173828,0.27000000700354576,35.21989731366069,1023.2024387531757,25.59554055115723,1023.3265320657962
1769648790,2026-01-29 01:06:30.000000000,21.198824389841256,-158.1460425447614,0.168949613550255,5.39946985244751,25.601600646972656,0.17000000923871994,35.215945897467336,1023.1972412972275,25.60156312963411,1023.3216864884641
1769648792,2026-01-29 01:06:32.000000000,21.19881606275328,-158.14604087934381,0.16894961363769898,5.3991899490356445,25.618900299072266,0.17000000923871994,35.20051620338016,1023.1804933997374,25.618862765232777,1023.304687840962
1769648794,2026-01-29 01:06:34.000000000,21.198810879777337,-158.14603882059308,0.22857884382770674,5.399380207061768,25.614500045776367,0.23000000044703484,35.205294914558564,1023.1856392502618,25.61444927018495,1023.309660338744
1769648796,2026-01-29 01:06:36.000000000,21.19880921394363,-158.1460363218425,0.31802268424797087,5.399270057678223,25.615299224853516,0.3200000151991844,35.203840229263626,1023.1846986815314,25.61522857924553,1023.3083212784807
1769648798,2026-01-29 01:06:38.000000000,21.198807351957985,-158.1460342153957,0.3875900701692512,5.399209976196289,25.632699966430664,0.39000000804662704,35.18993126601037,1023.1693395636951,25.632613828436217,1023.292442513106
1769648800,2026-01-29 01:06:40.000000000,21.198805269665783,-158.14603254956197,0.4273428621168347,5.399519920349121,25.63409996032715,0.43000001460313797,35.19111134538286,1023.1699491142316,25.63400498337854,1023.2929023079718
