startTime,endTime,latitude,longitude
2026-01-28 20:55:32.684999936,2026-01-28 21:09:31.108000000,21.218983332719933,-158.16803166666992
2026-01-28 21:15:56.256999936,2026-01-28 21:26:46.092000000,21.2178433327198,-158.1669516666699
2026-01-28 21:37:35.216999936,2026-01-28 21:48:21.101999872,21.216114999386257,-158.16625666666994
2026-01-28 22:08:19.288999936,2026-01-28 22:17:32.160000000,21.214094999386013,-158.1663016666699
2026-01-28 22:37:46.435000064,2026-01-28 22:48:28.091000064,21.21143999938568,-158.16677166666992
2026-01-28 23:27:38.956999936,2026-01-28 23:38:08.086999808,21.21115166605232,-158.1707516666699
2026-01-29 00:54:21.948000000,2026-01-29 01:05:36.132999936,21.21278166605251,-158.1820116666699
2026-01-29 02:47:34.805000192,2026-01-29 02:59:57.108999936,21.21109666605229,-158.19874833333648
2026-01-29 05:04:49.700999936,2026-01-29 05:17:57.068999936,21.206663332718417,-158.21724833333647
2026-01-29 08:08:19.496999936,2026-01-29 08:20:26.063000064,21.19953999938421,-158.23889000000307
2026-01-29 11:34:21.392000000,2026-01-29 11:51:11.098000128,21.194856666050303,-158.26425000000296
2026-01-29 15:25:19.875000064,2026-01-29 15:36:02.066999808,21.19379499938349,-158.28998500000282
2026-01-29 19:12:41.112999936,2026-01-29 19:36:31.058000128,21.179798332715123,-158.31697666666943
2026-01-29 19:47:15.328999936,2026-01-29 19:59:28.101000192,21.180877,-158.31395203555095
2026-01-29 20:17:17.769999872,2026-01-29 20:29:22.104000000,21.182679999382135,-158.31271833333614
2026-01-29 20:47:07.648000000,2026-01-29 20:56:06.124999936,21.183116666048864,-158.31149666666948
2026-01-29 21:14:45.935000064,2026-01-29 21:28:29.084000000,21.18396833271564,-158.31056833333616
2026-01-29 22:03:12.756000000,2026-01-29 22:18:14.584999936,21.18457666604904,-158.31250166666948
2026-01-29 23:29:44.727000064,2026-01-29 23:41:46.098000128,21.182473332715443,-158.32053833333617
2026-01-30 02:36:51.305999872,2026-01-30 02:52:18.084000000,21.207654999385145,-158.33185000000273
2026-01-30 05:51:17.664000000,2026-01-30 06:06:21.102999808,21.24048333272242,-158.32863000000273
2026-01-30 09:13:53.967000064,2026-01-30 09:26:12.079000064,21.26918333272589,-158.3199816666694
2026-01-30 12:32:46.430000128,2026-01-30 12:44:26.062000128,21.29503499939569,-158.3145383333361
2026-01-30 16:00:12.848000000,2026-01-30 16:13:52.065999872,21.326718332732845,-158.3174716666694
2026-01-30 19:46:24.675000064,2026-01-30 19:59:27.088000000,21.358073332736648,-158.31710833333602
2026-01-30 23:32:44.920000000,2026-01-30 23:46:44.064999936,21.379534999405912,-158.31241166666945
2026-01-31 03:34:52.719000064,2026-01-31 03:48:00.078000128,21.40915166607618,-158.3154650000027
2026-01-31 07:37:58.865999872,2026-01-31 07:53:53.083000064,21.45269499941481,-158.31693666666936
2026-01-31 09:58:51.151000064,2026-01-31 10:09:20.105999872,21.470903332750357,-158.31249166666936
2026-01-31 12:10:02.880999936,2026-01-31 12:20:26.076999936,21.482703332751797,-158.30450666666945
2026-01-31 14:23:34.002000128,2026-01-31 14:35:21.088999936,21.498166666087013,-158.30674833333603
2026-01-31 18:39:01.796999936,2026-01-31 18:52:31.073999872,21.54334166609252,-158.32067000000265
2026-01-31 22:46:27.956999936,2026-01-31 22:53:33.219000064,21.52330833275676,-158.30088666666936
2026-01-31 22:59:03.740000000,2026-01-31 23:02:11.083000064,21.522513332756656,-158.2980200000027
2026-02-01 03:02:34.477999872,2026-02-01 03:17:13.076999936,21.524634999423583,-158.3137400000027
2026-02-01 07:13:18.660999936,2026-02-01 07:25:54.064000000,21.541091666092225,-158.36258500000244
2026-02-01 11:24:56.620000000,2026-02-01 11:37:08.069999872,21.52241333275659,-158.38553833333577
2026-02-01 15:31:41.316999936,2026-02-01 15:46:24.116000000,21.48520499941872,-158.409506666669
2026-02-01 19:45:10.935000064,2026-02-01 20:09:22.061000192,21.512294999422025,-158.38829500000242
2026-02-01 21:43:54.020999936,2026-02-01 21:56:14.064000000,21.51276999942207,-158.405396666669
2026-02-01 23:25:36.194999808,2026-02-01 23:36:42.068000000,21.4995983327538,-158.41270666666898
2026-02-02 01:17:57.612000000,2026-02-02 01:28:16.075000064,21.490304999419337,-158.41348833333566
2026-02-02 03:28:27.563000064,2026-02-02 03:42:33.120000000,21.482489999418377,-158.40459666666902
2026-02-02 06:13:27.624999936,2026-02-02 06:29:41.120999936,21.5102633327551,-158.41522333333566
2026-02-02 10:40:47.576999936,2026-02-02 10:54:03.063000064,21.505121666087803,-158.42486166666893
2026-02-02 15:22:09.328000000,2026-02-02 15:43:47.068000000,21.47833666608454,-158.40944166666898
2026-02-02 18:59:13.436999936,2026-02-02 19:13:21.109999872,21.50574166608788,-158.41613500000227
2026-02-02 22:40:54.773999872,2026-02-02 22:57:59.069999872,21.49105333275276,-158.41071000000235
2026-02-03 02:33:24.460000000,2026-02-03 02:46:12.083000064,21.45997166608231,-158.39481000000237
2026-02-03 06:35:07.240999936,2026-02-03 06:51:21.078000128,21.453631666081552,-158.3719950000025
2026-02-03 10:48:22.102999808,2026-02-03 11:00:25.079000064,21.444381666080435,-158.36282833333584
2026-02-03 15:00:09.558000128,2026-02-03 15:15:51.055000064,21.416104999410337,-158.34952333333592
2026-02-03 19:13:21.565999872,2026-02-03 19:28:54.083000064,21.40209833274198,-158.33350500000265
2026-02-04 03:43:18.617000192,2026-02-04 04:04:27.136000000,21.36793666607118,-158.30785333333608
2026-02-04 11:55:39.020000000,2026-02-04 12:13:25.096000000,21.341838332734703,-158.28214333333617
2026-02-04 20:07:42.311000064,2026-02-04 20:23:11.104999936,21.30382666606344,-158.2585916666696
2026-02-04 22:50:30.156000000,2026-02-04 23:01:12.161999872,21.294639999395667,-158.24969166666966
2026-02-05 01:30:26.236000000,2026-02-05 01:42:57.064999936,21.28040833272729,-158.23874166666968
2026-02-05 04:10:18.544000000,2026-02-05 04:22:58.069999872,21.268134999392487,-158.2286083333364
2026-02-05 06:49:54.326999808,2026-02-05 07:01:45.071000064,21.262799999391845,-158.21683166666975
2026-02-05 09:28:33.172000000,2026-02-05 09:38:52.068999936,21.257263332724527,-158.20632666666975
2026-02-05 12:08:22.484000000,2026-02-05 12:19:43.062000128,21.244584999389662,-158.1938866666699
2026-02-05 14:48:34.839000064,2026-02-05 14:59:49.096000000,21.228434999387726,-158.18145333333652
2026-02-05 17:28:03.621999872,2026-02-05 17:38:57.072000000,21.235463332721903,-158.1803866666699
2026-02-05 20:05:10.459000064,2026-02-05 20:19:39.075000064,21.26038999939157,-158.1975366666698
2026-02-05 22:48:07.214999808,2026-02-05 23:03:53.062000128,21.283636666061025,-158.21689166666977
2026-02-06 01:31:12.352999936,2026-02-06 01:43:10.073999872,21.301283332729813,-158.23453500000298
2026-02-06 04:14:16.260000000,2026-02-06 04:26:31.080000000,21.317589999398457,-158.24842666666962
2026-02-06 06:56:04.596000000,2026-02-06 07:07:35.065999872,21.33839333273429,-158.2655000000029
2026-02-06 09:33:03.857000192,2026-02-06 09:43:07.069999872,21.36127166607038,-158.28550666666953
2026-02-06 12:10:49.694999808,2026-02-06 12:22:18.076000000,21.38002499940598,-158.30781833333603
2026-02-06 14:51:24.915000064,2026-02-06 15:02:58.083000064,21.369686666071388,-158.30271666666945
2026-02-06 17:33:01.816000000,2026-02-06 17:51:03.148000000,21.35176833273589,-158.28981166666946
2026-02-06 21:10:30.404999936,2026-02-06 21:22:09.085999872,21.375518332738768,-158.3045583333361
2026-02-07 00:43:55.167000064,2026-02-07 00:55:09.101999872,21.40128999940855,-158.3283200000027
2026-02-07 04:17:02.845999872,2026-02-07 04:29:25.084000000,21.42049166607753,-158.34369333333595
2026-02-07 07:53:50.240000000,2026-02-07 08:08:29.099000064,21.437651666079613,-158.3613616666692
2026-02-07 11:35:32.072000000,2026-02-07 11:47:39.407000064,21.46307999941602,-158.38592666666906
2026-02-07 15:09:12.046999808,2026-02-07 15:22:48.065999872,21.481393332751583,-158.405651666669
2026-02-07 18:41:16.217999872,2026-02-07 18:52:10.089999872,21.484004999418563,-158.41560000000229
2026-02-07 22:12:16.194000128,2026-02-07 22:28:02.115000064,21.474229999417386,-158.40072666666904
2026-02-08 01:46:21.024000000,2026-02-08 01:59:00.092999936,21.462854999416,-158.38678833333577
2026-02-08 05:19:28.424999936,2026-02-08 05:35:47.104000000,21.443558332747,-158.3742483333358
2026-02-08 08:58:01.624000000,2026-02-08 09:13:47.096999936,21.42875666607853,-158.36478166666913
2026-02-08 12:33:18.002000128,2026-02-08 12:44:56.095000064,21.42478666607805,-158.3597550000025
2026-02-08 16:09:05.947000064,2026-02-08 16:30:16.109999872,21.41353666607669,-158.3457166666693
2026-02-08 19:12:27.903000064,2026-02-08 19:28:32.094000128,21.397311666074724,-158.33006666666932
2026-02-08 21:13:37.460000000,2026-02-08 21:23:56.066999808,21.389553332740476,-158.31943666666936
2026-02-08 23:22:03.240000000,2026-02-08 23:33:38.084000000,21.39425833274102,-158.32308333333597
2026-02-09 01:47:30.982000128,2026-02-09 02:01:37.084999936,21.417016666077117,-158.34426000000258
2026-02-09 04:51:48.372000000,2026-02-09 05:03:36.153000192,21.442856666080253,-158.3643650000025
2026-02-09 08:08:23.276999936,2026-02-09 08:14:28.536999936,21.465029999416277,-158.38102666666907
2026-02-09 10:32:45.972000000,2026-02-09 10:43:44.114000128,21.48513166608537,-158.4020533333357
2026-02-09 12:53:32.954999808,2026-02-09 13:03:59.096999936,21.502904999420867,-158.42211166666894
2026-02-09 15:15:39.634000128,2026-02-09 15:35:58.119000064,21.494616666086525,-158.42044000000232
2026-02-09 17:49:56.150000128,2026-02-09 18:02:11.069999872,21.48380499941853,-158.41127000000233
2026-02-09 20:06:57.950000128,2026-02-09 20:18:41.109999872,21.470821666083623,-158.3977733333357
2026-02-09 22:31:16.953000192,2026-02-09 22:41:59.086999808,21.460294999415694,-158.38517000000246
2026-02-10 00:55:36.121999872,2026-02-10 01:06:23.066999808,21.449836666081083,-158.37699666666913
2026-02-10 03:20:19.010999808,2026-02-10 03:32:45.083000064,21.43793999941297,-158.36734166666918
