dive,time,pitch,roll,heading,vbdCC
1,1769638886,-49.2,-2.6,150.5,411.551317214966
1,1769638891,-67,1.9,144,374.840591430664
1,1769638896,-72.4,-2,149.3,337.72837638855
1,1769638901,-65.7,-1.2,147.2,302.747705459595
1,1769638906,-65.2,-7.6,157,265.905582427979
1,1769638911,-65.3,2.5,148.5,229.172958374023
1,1769638916,-69.8,3,150.9,192.235939025879
1,1769638921,-66.7,-3.1,154.9,156.992473602295
1,1769638926,-73.1,-5.3,158.9,120.369344711304
1,1769638931,-68.4,-4.6,154.5,83.6440181732178
1,1769638936,-67.7,1.8,155.1,46.6851005554199
1,1769638941,-72.6,-6.9,160.2,9.85027694702148
1,1769638946,-68,-1.7,151.9,-26.8750476837158
1,1769638951,-69.2,-1.4,151.7,-62.0017147064209
1,1769638958,-71.4,-0.7,148.4,-79.733847618103
1,1769638963,-61.3,-0.5,144.6,-79.6365685760975
1,1769638968,-36,-1.1,141.1,-97.2218456714181
1,1769638979,-18,-14.5,144.1,-97.225883036037
1,1769638984,-17.7,-14.4,145.8,-97.2277011072729
1,1769638989,-17.5,-14.6,147,-97.2295158987399
1,1769639010,-17.9,-15,157.7,-97.2371172514977
1,1769639015,-17.6,-14.4,159.6,-97.2389447976602
1,1769639020,-17.5,-14.4,162.1,-97.2407727082027
1,1769639025,-18.3,-15.1,163.4,-97.242583491141
1,1769639030,-18.1,-15,165.1,-97.2443997403607
1,1769639035,-18,-14.7,167,-97.2462127098115
1,1769639039,-17.7,-14.8,170.9,-97.2480213063536
1,1769639044,-17.7,-14.4,174.4,-97.2498371910769
1,1769639049,-17.9,-15,175.2,-97.2516505249077
1,1769639054,-17.9,-15.3,178.6,-97.2534583925735
1,1769639059,-17.8,-14.8,181.9,-97.2552750061732
1,1769639064,-17.6,-14.7,184.4,-97.257095628418
1,1769639070,-18.3,-15.2,186.8,-97.258995328797
1,1769639075,-17.6,-14.3,189.3,-97.2608042897191
1,1769639080,-17.7,-14.7,192.2,-97.2626205389388
1,1769639085,-18.2,-14.6,194.6,-97.2644331440097
1,1769639089,-17.7,-14.8,197,-97.2662417404354
1,1769639094,-18.1,-14.7,199.4,-97.2680579897715
1,1769639099,-18.2,-14.8,202,-97.2698705947259
1,1769639104,-17.9,-14.7,204.3,-97.271679555648
1,1769639109,-18.1,-15.2,206.7,-97.2734903385863
1,1769639114,-17.9,-15.1,208.9,-97.2753390208818
1,1769639119,-18,-14.6,211,-97.277134498232
1,1769639124,-18.4,-15.4,213.1,-97.2789525695844
1,1769639129,-18.1,-14.7,215.7,-97.2808059891686
1,1769639134,-18,-14.8,217.5,-97.2826003734954
1,1769639139,-18,-15,220,-97.2844191736076
1,1769639144,-18.2,-14.8,222,-97.2862733220682
1,1769639149,-18.2,-14.8,223.8,-97.2880724436836
1,1769639154,-18.2,-14.8,226.8,-97.2898886929033
1,1769639159,-18,-14.1,229.6,-97.2917402904714
1,1769639164,-18.1,-14.1,231.3,-97.2935332170455
1,1769639169,-18.3,-14.7,233.2,-97.295353110414
1,1769639174,-17.9,-14.8,235.1,-97.2972072588746
1,1769639179,-18.3,-14.5,236.4,-97.2990052872337
1,1769639184,-18.5,-14.9,239.1,-97.3008211720735
1,1769639189,-18.3,-14.8,241.7,-97.3026734984014
1,1769639194,-18.1,-14.5,243.8,-97.3044711624971
1,1769639199,-18.3,-14.8,246.3,-97.3062874116004
1,1769639204,-17.9,-14.3,248.8,-97.3081401025411
1,1769639209,-18.4,-14.5,250.6,-97.3099377664039
