dive,time,latitude,longitude,depth,temperature,salinity,density,soundVelocity
1,1769638886,21.2126666666667,-158.157016666667,1.18036761317711,25.5009140817954,NaN,NaN,NaN
1,1769638891,21.2126666666667,-158.157016666667,1.17036452641957,25.5012970527146,NaN,NaN,NaN
1,1769638896,21.2126666666667,-158.157016666667,1.35042001323449,25.4799828196487,NaN,NaN,NaN
1,1769638901,21.2126666666667,-158.157016666667,1.23038303962944,25.4805494457363,NaN,NaN,NaN
1,1769638906,21.2126666666667,-158.157016666667,1.24038612345283,25.4703843990026,NaN,NaN,NaN
1,1769638911,21.2126666666667,-158.157016666667,1.35042001323449,25.4588110832295,NaN,NaN,NaN
1,1769638916,21.2126666666667,-158.157016666667,1.52047227196414,25.4278562426789,NaN,NaN,NaN
1,1769638921,21.2126666666667,-158.157016666667,1.65051213916303,25.3850072497511,NaN,NaN,NaN
1,1769638926,21.2126666666667,-158.157016666667,1.83056720346381,25.3924674540427,NaN,NaN,NaN
1,1769638931,21.2126666666667,-158.157016666667,2.11065254411682,25.360400288092,NaN,NaN,NaN
1,1769638936,21.2126666666667,-158.157016666667,2.32071629800985,25.3303121546959,NaN,NaN,NaN
1,1769638941,21.2126666666667,-158.157016666667,2.58079493261715,25.3004393947504,NaN,NaN,NaN
1,1769638946,21.2126666666667,-158.157016666667,2.91089426203464,25.2726266774996,NaN,NaN,NaN
1,1769638951,21.2126666666667,-158.157016666667,3.48106457674764,25.2477908238781,NaN,NaN,NaN
1,1769638958,21.2126576336286,-158.157012771547,4.79144998040164,25.2315760674823,35.0634679648095,1023.32098612477,1534.92747630564
1,1769638963,21.2126417780217,-158.157005354356,6.05181275705843,25.2175000869591,35.0757687772348,1023.33458750147,1534.93015466392
1,1769638968,21.2126283460552,-158.156997870006,7.34217612922086,25.2072605182421,35.0839376339226,1023.34389261224,1534.93761851023
1,1769638979,21.212605906988,-158.156985552573,8.97262363832125,25.1970004319419,35.0941470824586,1023.35474443575,1534.95325609916
1,1769638984,21.2125829961109,-158.156973735833,9.65280648931665,25.1962499734636,35.0990724313827,1023.35869374854,1534.96891806838
1,1769638989,21.2125689348713,-158.156967049737,10.262968593848,25.1941939658534,35.1026602380268,1023.36203273206,1534.97872446513
1,1769639010,21.2125311444652,-158.156956437861,12.8836441602116,25.1870453053632,35.1169282412502,1023.37499649946,1535.02349927718
1,1769639015,21.2124928749777,-158.156947538666,13.4737916623233,25.1862771946944,35.1201674124808,1023.37767787664,1535.03560723634
1,1769639020,21.212477898097,-158.156944864793,14.0739399193149,25.1765123848366,35.1233860577177,1023.38309773606,1535.02653553362
1,1769639025,21.2124629062459,-158.156942732562,14.6840888432291,25.1488484595245,35.1258782456147,1023.39344421743,1534.97432352287
1,1769639030,21.2124479151969,-158.15694102857,15.2842335513479,25.1229583895985,35.1321103739061,1023.40606745026,1534.93045394682
1,1769639035,21.2124328841206,-158.15693983002,15.904381234385,25.1375818292927,35.135619283829,1023.40424684675,1534.97993050223
1,1769639039,21.2124178734435,-158.156939449488,16.5545340458447,25.1272778760994,35.1342458516221,1023.40635992754,1534.96506176099
1,1769639044,21.2124028813202,-158.156940110029,17.1746778800913,25.1280569985665,35.1396900140637,1023.41023361365,1534.98392432191
1,1769639049,21.2123879168683,-158.156941373196,17.8248266566082,25.0934139776827,35.1447079246108,1023.42461012178,1534.91866747122
1,1769639054,21.2123730545896,-158.156943216986,18.4449666422161,25.1008858441287,35.1447997499277,1023.42239693997,1534.94720367635
1,1769639059,21.2123583090192,-158.156945992788,19.0951113839494,25.0844277674329,35.1489048763816,1023.43052481724,1534.92406005184
1,1769639064,21.2123436633092,-158.156949576766,19.6752387947251,25.07832103447,35.1498049821454,1023.43306950502,1534.92057531864
1,1769639070,21.2123288434372,-158.156953933297,20.3053753263374,25.0850037760599,35.1485359082708,1023.43007021207,1534.94583119929
1,1769639075,21.2123142520688,-158.15695893415,20.9055035530099,25.073367354923,35.1514461289165,1023.43582163576,1534.93188461315
1,1769639080,21.2123002231558,-158.156964546487,21.4956279268969,25.0688477825673,35.1540713552681,1023.43918441179,1534.9343521407
1,1769639085,21.2122864252463,-158.156970859269,22.1257588547716,25.0687370976719,35.154776663363,1023.43975096419,1534.94575695123
1,1769639089,21.2122729039503,-158.156977776909,22.7258817446529,25.0664010594655,35.1560905320186,1023.44145653036,1534.95206135146
1,1769639094,21.2122596402886,-158.156985310999,23.3059988658773,25.065465295358,35.1581937196208,1023.44333085676,1534.96227093323
1,1769639099,21.2122466691495,-158.15699347381,23.9061182958025,25.0643571069411,35.1589845732978,1023.44426651835,1534.97088615743
1,1769639104,21.2122340561236,-158.157002209326,24.5062359664766,25.0640741364668,35.159987049054,1023.44511013388,1534.98171061991
1,1769639109,21.2122217913384,-158.157011490177,25.1063518779325,25.0631224237406,35.1617280779289,1023.44671576066,1534.99180455866
1,1769639114,21.212209748807,-158.157021406346,25.7364716916383,25.0635510620966,35.1632508117908,1023.44773515154,1535.00544406168
1,1769639119,21.2121981001373,-158.157031756058,26.3565877100085,25.0623983733807,35.1638371567281,1023.44852990977,1535.01405929561
1,1769639124,21.2121869038357,-158.157042477896,26.9566981974143,25.0604089853723,35.1660622680445,1023.45081792787,1535.02224842108
1,1769639129,21.212175951416,-158.157053867763,27.5468051280117,25.0598328335296,35.167645583401,1023.45218978386,1535.0328795783
1,1769639134,21.2121654750243,-158.157065621324,28.1969209637471,25.060115773829,35.1680546853575,1023.4524124501,1535.04521971607
1,1769639139,21.2121555164664,-158.157077677775,28.7870243195957,25.0593693991461,35.1691118897842,1023.45343885057,1535.05483307729
1,1769639144,21.2121458462778,-158.157090355351,29.3871276829122,25.0591111964214,35.1702530559078,1023.4543796728,1535.06587767761
1,1769639149,21.2121366144663,-158.157103301195,30.0272359983618,25.0590175447825,35.1711981423473,1023.45512215657,1535.07777348655
1,1769639154,21.2121279895634,-158.1571165175,30.6373373737825,25.0594635261999,35.172194236835,1023.45573846238,1535.09049506991
1,1769639159,21.2121198831047,-158.15713038654,31.2974450110317,25.0595753803777,35.1736445997957,1023.45679989671,1535.1038115394
1,1769639164,21.2121123308449,-158.157144495407,31.8975410162856,25.0594203725181,35.1747300029922,1023.45766710202,1535.11503522599
1,1769639169,21.2121052592805,-158.157158735965,32.5376414832862,25.05926720759,35.1750124711386,1023.45792722338,1535.12601662087
1,1769639174,21.2120985145755,-158.157173477491,33.1777399491866,25.0564750043766,35.1760711216147,1023.45957914034,1535.13162349856
1,1769639179,21.212092182538,-158.157188340521,33.787831936938,25.0555033120648,35.1778419813689,1023.46121338826,1535.14187450089
1,1769639184,21.2120863982761,-158.157203288133,34.3979221068659,25.0557709553232,35.1786108946692,1023.46171252947,1535.15390712538
1,1769639189,21.2120811868134,-158.157218741536,35.0480161890807,25.0543629654189,35.1794831153936,1023.46280111359,1535.16276177451
1,1769639194,21.2120765867945,-158.157234328531,35.6881068073001,25.0549286095897,35.179438424595,1023.46259472135,1535.17507217329
1,1769639199,21.2120726210328,-158.157249938245,36.3181940553571,25.0533914999619,35.1803238791988,1023.46373270165,1535.18329057044
1,1769639204,21.2120692469827,-158.157265948434,36.9282766861555,25.0547315432019,35.1811915850096,1023.46397918336,1535.1979898615
1,1769639209,21.2120664433894,-158.157281996922,37.5283561891563,25.0539585010916,35.1822802768713,1023.46503750106,1535.20774653849
1,1769639214,21.2120641913476,-158.157297980636,38.1384352144935,25.0540792878377,35.1825051587109,1023.46517051091,1535.21879597174
1,1769639219,21.2120624885531,-158.157314292966,38.7985186701621,25.0506171015185,35.1834466046756,1023.46693827724,1535.2230148472
1,1769639224,21.2120613423959,-158.157330588551,39.4285963475543,25.0508234270937,35.1834539774311,1023.46688088174,1535.23435869981
1,1769639229,21.2120607910061,-158.157346769295,40.058672086307,25.0507379447271,35.184467530026,1023.46767260118,1535.24618018831
1,1769639234,21.2120608070322,-158.157363221989,40.6787447301686,25.0491230131147,35.1855067246295,1023.46895043055,1535.25421980922
1,1769639239,21.2120612965868,-158.15737959252,41.2588109876051,25.0462100746286,35.1862815298582,1023.47042460586,1535.25817353271
1,1769639244,21.2120623403734,-158.157395778072,41.9288854811215,25.0465211336314,35.1869174199917,1023.47081004092,1535.27118740134
1,1769639249,21.2120640831074,-158.15741215236,42.5889567191741,25.0460829387295,35.1867423371018,1023.47081149476,1535.28130128671
1,1769639254,21.2120665202581,-158.157428332123,43.1490154952153,25.0435891948023,35.1882215402576,1023.47268981026,1535.28672821492
1,1769639259,21.2120696016432,-158.15744421443,43.7790797875373,25.0424157147854,35.1886572252766,1023.47337697994,1535.29528677003
1,1769639264,21.212073280356,-158.157460208123,44.4391450623684,25.0394686348422,35.1891710851252,1023.47466431744,1535.30023067963
1,1769639269,21.2120775073019,-158.157475938463,45.059204443299,25.0370951208918,35.1900920369724,1023.47608413554,1535.30632507371
1,1769639274,21.212079753019,-158.157483625272,45.6592601213182,25.0356456740477,NaN,NaN,NaN
1,1769639279,21.212079753019,-158.157483625272,46.1593051767014,25.0350969689098,NaN,NaN,NaN
1,1769639284,21.212079753019,-158.157483625272,46.3793246143011,25.0338174766931,NaN,NaN,NaN
1,1769639289,21.212079753019,-158.157483625272,46.5293377316956,25.0332774995925,NaN,NaN,NaN
1,1769639294,21.212079753019,-158.157483625272,46.6893516024754,25.0301920444713,NaN,NaN,NaN
1,1769639299,21.212079753019,-158.157483625272,46.8393644927934,25.0310149693424,NaN,NaN,NaN
1,1769639304,21.212079753019,-158.157483625272,46.9693755755258,25.0296657893675,NaN,NaN,NaN
1,1769639309,21.212079753019,-158.157483625272,47.1293891025191,25.0294185473678,NaN,NaN,NaN
1,1769639314,21.212079753019,-158.157483625272,47.2894025045003,25.0286453234855,NaN,NaN,NaN
1,1769639319,21.212079753019,-158.157483625272,47.3894108172561,25.0274442720632,NaN,NaN,NaN
1,1769639324,21.212079753019,-158.157483625272,47.5694256571589,25.0257131097798,NaN,NaN,NaN
1,1769639329,21.212079753019,-158.157483625272,47.7094370899214,25.0244672853313,NaN,NaN,NaN
1,1769639334,21.212079753019,-158.157483625272,47.8194460056623,25.0234570734474,NaN,NaN,NaN
1,1769639339,21.212079753019,-158.157483625272,47.9694580682687,25.0220739079162,NaN,NaN,NaN
1,1769639344,21.212079753019,-158.157483625272,48.0994684336541,25.0217729184128,NaN,NaN,NaN
1,1769639349,21.212079753019,-158.157483625272,48.2194779284551,25.0201807719194,NaN,NaN,NaN
1,1769639354,21.212079753019,-158.157483625272,48.3594889168502,25.0196481194103,NaN,NaN,NaN
1,1769639359,21.212079753019,-158.157483625272,48.4994998095366,25.0187144842601,NaN,NaN,NaN
