dive,time,vertSpeed,horzSpeed,speed,speed_qc,glideAngle,buoyancy,north_displacement,east_displacement
1,1769638886,NaN,NaN,NaN,4,NaN,NaN,-0,0
1,1769638891,NaN,NaN,NaN,4,NaN,NaN,-0,0
1,1769638896,NaN,NaN,NaN,4,NaN,NaN,-0,0
1,1769638901,NaN,NaN,NaN,4,NaN,NaN,-0,0
1,1769638906,NaN,NaN,NaN,4,NaN,NaN,-0,0
1,1769638911,NaN,NaN,NaN,4,NaN,NaN,-0,0
1,1769638916,NaN,NaN,NaN,4,NaN,NaN,-0,0
1,1769638921,NaN,NaN,NaN,4,NaN,NaN,-0,0
1,1769638926,NaN,NaN,NaN,4,NaN,NaN,-0,0
1,1769638931,NaN,NaN,NaN,4,NaN,NaN,-0,0
1,1769638936,NaN,NaN,NaN,4,NaN,NaN,-0,0
1,1769638941,NaN,NaN,NaN,4,NaN,NaN,-0,0
1,1769638946,NaN,NaN,NaN,4,NaN,NaN,-0,0
1,1769638951,NaN,NaN,NaN,4,NaN,NaN,-0,0
1,1769638958,-48.6568039779506,31.2369346192042,57.8206767320579,1,-57.3001487348977,-180.454210367486,-2.01111378177209,0.808462556640449
1,1769638963,-41.6108897664795,33.4006964231248,53.3579672467744,1,-51.2462929618741,-179.6919029809,-1.51897538350617,0.731033484080868
1,1769638968,-33.7963807095494,35.0318904965791,48.6767778394289,1,-43.9716159769605,-197.301348467402,-1.47151493425906,0.822401899251416
1,1769638979,-17.9675342509308,35.4532928246798,39.7462986851715,1,-26.8756415111773,-196.83357097363,-3.52431451126535,1.73417773117826
1,1769638984,-14.0512055722284,34.727515330737,37.4624705415913,1,-22.0288979395985,-196.667987602136,-1.57655857347448,0.718479135317317
1,1769638989,-12.5458118917471,33.9763787261294,36.2186651792205,1,-20.2667176393702,-196.540312127176,-1.55403301414133,0.66927235172845
1,1769639010,-12.1937521659947,33.6971761640845,35.8355587834074,1,-19.893301957132,-196.082639303732,-6.85961543847034,1.53330571298826
1,1769639015,-12.2154830657551,33.7005253566014,35.8461076804816,1,-19.9241420123827,-195.983506060002,-1.66069559314036,0.313791689919672
1,1769639020,-12.2510095749883,33.7129777732005,35.8699331744954,1,-19.9707144130318,-195.74849829784,-1.67375414312316,0.241191656522089
1,1769639025,-12.2957159450356,33.7325123043837,35.9035794450414,1,-20.0271207801818,-195.28326480091,-1.66402857483798,0.201369583752486
1,1769639030,-12.3008596470723,33.717731606785,35.891455428335,1,-20.0429160479065,-194.70892878753,-1.67357557830819,0.15230730898974
1,1769639035,-12.2801950904142,33.6827924986996,35.8515509004714,1,-20.0310281839069,-194.804611510359,-1.67294024545716,0.0964611276304698
1,1769639039,-12.2388583329162,33.6313801865047,35.789095916807,1,-19.9970469125431,-194.807145833134,-1.66903389933599,-0.017478721045908
1,1769639044,-12.1933514929024,33.5759830877776,35.7214845847732,1,-19.9588422164326,-194.620017821041,-1.66880944702568,-0.119621748561327
1,1769639049,-12.1702731545372,33.5404495814683,35.6802088948911,1,-19.9434857804366,-194.006816368941,-1.662873113939,-0.14255851410504
1,1769639054,-12.1742331146527,33.5312511174729,35.672913441895,1,-19.9545039368152,-194.132527054179,-1.6460616599219,-0.240134426474375
1,1769639059,-12.174784167301,33.5209483733684,35.663417522307,1,-19.9609848837791,-193.819196189069,-1.63688916861819,-0.336005091295146
1,1769639064,-12.1729800627172,33.5122336172888,35.6546104399845,1,-19.9630407111515,-193.769497688723,-1.62382879139076,-0.407877600259454
1,1769639070,-12.1911386211573,33.5245074820673,35.6723487143118,1,-19.9837233314786,-193.990158301702,-1.67566454461588,-0.496354451144712
1,1769639075,-12.1820766249367,33.5130846214126,35.6585169593155,1,-19.9763118926276,-193.792268375719,-1.5729547896755,-0.541611768541514
1,1769639080,-12.2009319528995,33.5278315125618,35.6788204184782,1,-19.9966790209251,-193.68788520179,-1.55043960966496,-0.623272726837893
1,1769639085,-12.2417988343091,33.563133422598,35.7259788367345,1,-20.0389076645812,-193.73769328487,-1.5215241988324,-0.686994518053628
1,1769639089,-12.2608775351924,33.5796327437502,35.7480188701153,1,-20.0585737110255,-193.73459858824,-1.48885444164975,-0.748815773089661
1,1769639094,-12.3066811017639,33.6212297324836,35.8028139741132,1,-20.1045960143219,-193.714102271046,-1.46416452527915,-0.814943520326709
1,1769639099,-12.328681822883,33.6424704556136,35.8303253382762,1,-20.1259581496237,-193.750961435199,-1.4237272932748,-0.879311898007771
1,1769639104,-12.3248623525779,33.6408035436579,35.8274461142987,1,-20.1211402146589,-193.79073929345,-1.384434285269,-0.9338127164226
1,1769639109,-12.3434695012494,33.6589384768922,35.8508769588624,1,-20.1390924165812,-193.79126806702,-1.34619502312697,-0.992500568894565
1,1769639114,-12.3558090587721,33.6713350410715,35.8667648519478,1,-20.1507809954524,-193.822993683805,-1.33495176560485,-1.06567799378864
1,1769639119,-12.3774956451472,33.6919759682239,35.8936156313211,1,-20.1719291395299,-193.869487287055,-1.25850572058598,-1.08248569207605
