time,time_utc,latitude,longitude,depth,conductivity,temperature,pressure,salinity,density,potential_temperature,potential_density
1769648651,2026-01-29 01:04:11.772000000,21.21285855725265,-158.18122556133693,0.19876404808086734,5.4024200439453125,25.660999298095703,0.19999999552965164,35.19168167188352,1023.1610842750973,25.660955088608514,1023.2849848563861
1769648653,2026-01-29 01:04:13.772000000,21.212857972899066,-158.18122535982337,0.15901126502410093,5.4022698402404785,25.64739990234375,0.1600000075995922,35.201096573406055,1023.1720769764571,25.647364547334565,1023.2963001221764
1769648655,2026-01-29 01:04:15.772000000,21.21285755644064,-158.1812257762818,0.19876404809323828,5.402050018310547,25.643600463867188,0.19999999552965164,35.202406806494764,1023.1743890747154,25.643556274699375,1023.298468475936
1769648657,2026-01-29 01:04:17.772000000,21.212857139982212,-158.1812261927402,0.2782696280829834,5.401979923248291,25.64349937438965,0.2800000086426735,35.20194545994819,1023.1744184448488,25.643437509787088,1023.2981570877567
1769648659,2026-01-29 01:04:19.772000000,21.212856723523785,-158.18122660919863,0.3875897316172328,5.401899814605713,25.640399932861328,0.39000000804662704,35.20371789423018,1023.177152650828,25.64031377131317,1023.3004621205856
1769648661,2026-01-29 01:04:21.772000000,21.212860965304344,-158.18122165087607,0.35777514006631717,5.401919841766357,25.64109992980957,0.35999998450279236,35.20333340218675,1023.1765249648065,25.641020394617158,1023.2999531190555
1769648663,2026-01-29 01:04:23.772000000,21.21286595283553,-158.1812158320897,0.29814599957728977,5.4016900062561035,25.638900756835938,0.29999999329447746,35.2033653497585,1023.1769736155645,25.638834481732207,1023.3006542304075
1769648665,2026-01-29 01:04:25.772000000,21.212864525158224,-158.1812150000032,0.288207804765162,5.402029991149902,25.64229965209961,0.28999999165534973,35.20323658783651,1023.17578595387,25.64223557994261,1023.299503707996
1769648667,2026-01-29 01:04:27.772000000,21.212862027031832,-158.1812150000032,0.3577751400426942,5.4022698402404785,25.64579963684082,0.35999998450279236,35.20226988638016,1023.1742867198706,25.645720091219435,1023.2976948928074
1769648669,2026-01-29 01:04:29.772000000,21.212856680621325,-158.18121642441213,0.31802240649929664,5.402309894561768,25.645599365234375,0.3200000151991844,35.20273106376941,1023.1745199275272,25.64552865832275,1023.298102224567
1769648671,2026-01-29 01:04:31.772000000,21.212850853115423,-158.18121808941382,0.2285786443023161,5.402349948883057,25.645000457763672,0.23000000044703484,35.20351600713195,1023.1749036580053,25.644949637945757,1023.2988739507042
1769648673,2026-01-29 01:04:33.772000000,21.212850710102824,-158.18121975477047,0.27826962819425427,5.402359962463379,25.643199920654297,0.2800000086426735,35.204964934531404,1023.1767430539156,25.643138055880723,1023.3005284907695
1769648675,2026-01-29 01:04:35.772000000,21.21285154281162,-158.18122142018805,0.33789879291517866,5.402480125427246,25.644100189208984,0.3400000184774399,35.205131946963554,1023.176842736969,25.64402506565776,1023.3003797754185
1769648677,2026-01-29 01:04:37.772000000,21.212853085165595,-158.18121882844372,0.3776515226923335,5.40254020690918,25.645999908447266,0.3799999877810478,35.204092250050834,1023.1756567684171,25.64591594254653,1023.2990094679661
1769648679,2026-01-29 01:04:39.772000000,21.21285475079127,-158.18121549719237,0.3378987928477677,5.402639865875244,25.649200439453125,0.3400000184774399,35.2023631639933,1023.1732200362002,25.64912530566997,1023.2967104837786
1769648681,2026-01-29 01:04:41.772000000,21.212856416416948,-158.18121216594102,0.3279605813886755,5.402699947357178,25.647600173950195,0.32999999821186066,35.20404341868732,1023.1749142114031,25.647527252889255,1023.2984735113909
