start_time,end_time,Latitude,Longitude
2026-01-28 23:55:32.630000128,2026-01-28 23:58:40.063000064,21.204078332718154,-158.14806833333665
2026-01-29 00:04:05.308999936,2026-01-29 00:15:13.065999872,21.20201999938457,-158.1477633333366
2026-01-29 00:25:27.548999936,2026-01-29 00:31:46.044000000,21.201139999384456,-158.14682000000332
2026-01-29 00:56:03.812000000,2026-01-29 01:07:05.078000128,21.198779999384172,-158.14722000000333
2026-01-29 01:42:50.648999936,2026-01-29 01:50:20.858000128,21.199468332717608,-158.1511350000033
2026-01-29 02:48:27.342999808,2026-01-29 02:59:38.045000192,21.199238332717567,-158.15946333333662
2026-01-29 04:36:14.624999936,2026-01-29 04:50:14.059000064,21.201388332717823,-158.17776000000322
2026-01-29 07:06:26.668000000,2026-01-29 07:21:34.064000000,21.196516666050535,-158.19955666666985
2026-01-29 10:25:41.232000000,2026-01-29 10:44:02.145999872,21.193413332716805,-158.22839000000317
2026-01-29 13:57:46.927000064,2026-01-29 14:15:30.503000064,21.194644999383613,-158.25658000000303
2026-01-29 17:36:30.728000000,2026-01-29 17:48:36.069999872,21.18597166604922,-158.2853866666696
2026-01-29 21:24:28.243000064,2026-01-29 21:39:40.398999808,21.18028833271519,-158.31747833333614
2026-01-29 22:29:53.024000000,2026-01-29 22:39:40.056000000,21.184879999382407,-158.31655333333617
2026-01-29 23:29:17.940999936,2026-01-29 23:40:45.081000192,21.183151666048865,-158.31876166666947
2026-01-30 03:52:06.397000192,2026-01-30 04:11:41.068999936,21.206258332718303,-158.33940666666936
2026-01-30 08:15:09.028000000,2026-01-30 08:30:35.064000000,21.237518332722075,-158.32856000000274
2026-01-30 12:23:56.849999872,2026-01-30 12:34:08.063000064,21.264041666058613,-158.32122500000278
2026-01-30 16:20:02.358000128,2026-01-30 16:30:18.051000064,21.296324999395832,-158.32134500000274
2026-01-30 20:23:12.664000000,2026-01-30 20:34:12.063000064,21.32673166606618,-158.31871000000274
2026-01-31 00:24:14.964999936,2026-01-31 00:35:07.055000064,21.351691666069208,-158.3151716666694
2026-01-31 04:20:41.667000064,2026-01-31 04:32:05.062000128,21.38644666607341,-158.32042833333605
2026-01-31 08:28:11.173000192,2026-01-31 08:39:57.051000064,21.41954833274411,-158.31312333333605
2026-01-31 12:31:18.684999936,2026-01-31 12:43:28.076000000,21.448126666080917,-158.30754500000273
2026-01-31 16:32:28.424999936,2026-01-31 16:45:25.080000000,21.485638332752156,-158.30840333333606
2026-01-31 20:48:00.223000064,2026-01-31 20:58:52.055000064,21.531926666091127,-158.31237000000272
2026-02-01 00:54:38.750999808,2026-02-01 01:07:24.073999872,21.50853499942161,-158.317348333336
2026-02-01 04:58:18.292000000,2026-02-01 05:10:49.060000000,21.545038332759383,-158.3176366666693
2026-02-01 09:10:24.957999872,2026-02-01 09:21:20.058000128,21.54682666609292,-158.36425833333578
2026-02-01 13:16:51.882999808,2026-02-01 13:28:23.066999808,21.50807333275485,-158.3725666666691
2026-02-01 17:37:22.105999872,2026-02-01 17:50:35.073999872,21.510954999421852,-158.41603940220924
2026-02-01 19:42:32.928000000,2026-02-01 19:53:08.046999808,21.50824999942153,-158.42199000000227
2026-02-01 21:57:30.420000000,2026-02-01 22:26:46.048000000,21.50021833275388,-158.42012333333562
2026-02-02 00:17:02.280000000,2026-02-02 00:31:07.084000000,21.4845566660853,-158.41284000000235
2026-02-02 02:25:50.860999936,2026-02-02 02:35:50.072999936,21.47316333275058,-158.3993833333357
2026-02-02 04:55:50.591000064,2026-02-02 05:13:15.172000000,21.468436666083345,-158.39007500000238
2026-02-02 09:50:05.517999872,2026-02-02 10:01:33.091000064,21.50759833275477,-158.42312166666892
2026-02-02 15:09:01.825999872,2026-02-02 15:32:51.052999936,21.479273332751323,-158.40605333333562
2026-02-02 20:06:20.083000064,2026-02-02 20:21:15.055000064,21.50444499942104,-158.41192833333565
2026-02-03 00:44:53.379000064,2026-02-03 00:55:13.069999872,21.4774733327511,-158.40032500000237
2026-02-03 05:12:17.234999808,2026-02-03 05:24:53.101999872,21.45038666608115,-158.37323500000247
2026-02-03 09:50:10.668000000,2026-02-03 10:01:32.065999872,21.44099666608003,-158.35298500000255
2026-02-03 14:16:53.563000064,2026-02-03 14:28:39.080000000,21.4117899994098,-158.34086333333593
2026-02-03 18:42:07.332999936,2026-02-03 18:46:32.196000000,21.39240666607413,-158.31898333333604
2026-02-04 04:07:16.151000064,2026-02-04 04:22:51.086999808,21.34495833273508,-158.28842666666944
2026-02-04 13:11:34.532999936,2026-02-04 13:25:29.060000000,21.31287499939788,-158.24660333333634
2026-02-04 22:22:56.802000128,2026-02-04 22:38:45.058000128,21.274328332726576,-158.22278333333637
2026-02-05 01:46:41.029999872,2026-02-05 01:57:48.051000064,21.254988332724256,-158.20471500000315
2026-02-05 05:01:19.187000064,2026-02-05 05:16:01.088999936,21.23994833272245,-158.18585166666983
2026-02-05 08:03:44.879000064,2026-02-05 08:14:56.058000128,21.23889999938899,-158.17567500000322
2026-02-05 11:01:56.640000000,2026-02-05 11:14:58.051000064,21.262933332725204,-158.20068000000313
2026-02-05 14:05:28.055000064,2026-02-05 14:16:07.058000128,21.282054999394177,-158.22106666666974
2026-02-05 17:05:30.108999936,2026-02-05 17:16:20.064000000,21.302773332729984,-158.24304666666967
2026-02-05 20:04:20.073999872,2026-02-05 20:15:31.049999872,21.331134999400085,-158.26733333333624
2026-02-05 23:01:41.499000064,2026-02-05 23:16:11.052999936,21.359758332736867,-158.29104833333614
2026-02-06 02:06:03.243000064,2026-02-06 02:15:51.046999808,21.37677166607225,-158.30716166666943
2026-02-06 05:03:44.206000128,2026-02-06 05:14:19.248000000,21.35505999940297,-158.28718666666956
2026-02-06 08:01:06.184999936,2026-02-06 08:11:34.048000000,21.34024333273452,-158.2716483333362
2026-02-06 10:58:56.084000000,2026-02-06 11:08:48.063000064,21.326689999399544,-158.25855666666965
