root:2026-08-13 13:38:49:INFO:Beginning scheduled processing [line 16]
pyglider.seaexplorer:2026-08-13 13:38:49:INFO:data/SEA117-M026_20260128/0_RawData_gli_and_pld\sea117.26.gli.sub.5.gz to data/SEA117-M026_20260128/realtime_rawnc/sea117.0026.gli.sub.0005.parquet [line 137]
pyglider.seaexplorer:2026-08-13 13:38:49:INFO:data/SEA117-M026_20260128/0_RawData_gli_and_pld\sea117.26.gli.sub.6.gz to data/SEA117-M026_20260128/realtime_rawnc/sea117.0026.gli.sub.0006.parquet [line 137]
pyglider.seaexplorer:2026-08-13 13:38:49:INFO:data/SEA117-M026_20260128/0_RawData_gli_and_pld\sea117.26.gli.sub.7.gz to data/SEA117-M026_20260128/realtime_rawnc/sea117.0026.gli.sub.0007.parquet [line 137]
pyglider.seaexplorer:2026-08-13 13:38:49:INFO:data/SEA117-M026_20260128/0_RawData_gli_and_pld\sea117.26.gli.sub.8.gz to data/SEA117-M026_20260128/realtime_rawnc/sea117.0026.gli.sub.0008.parquet [line 137]
pyglider.seaexplorer:2026-08-13 13:38:49:INFO:data/SEA117-M026_20260128/0_RawData_gli_and_pld\sea117.26.gli.sub.9.gz to data/SEA117-M026_20260128/realtime_rawnc/sea117.0026.gli.sub.0009.parquet [line 137]
pyglider.seaexplorer:2026-08-13 13:38:49:INFO:data/SEA117-M026_20260128/0_RawData_gli_and_pld\sea117.26.gli.sub.10.gz to data/SEA117-M026_20260128/realtime_rawnc/sea117.0026.gli.sub.0010.parquet [line 137]
pyglider.seaexplorer:2026-08-13 13:38:49:INFO:data/SEA117-M026_20260128/0_RawData_gli_and_pld\sea117.26.gli.sub.11.gz to data/SEA117-M026_20260128/realtime_rawnc/sea117.0026.gli.sub.0011.parquet [line 137]
pyglider.seaexplorer:2026-08-13 13:38:49:INFO:data/SEA117-M026_20260128/0_RawData_gli_and_pld\sea117.26.gli.sub.12.gz to data/SEA117-M026_20260128/realtime_rawnc/sea117.0026.gli.sub.0012.parquet [line 137]
pyglider.seaexplorer:2026-08-13 13:38:49:INFO:data/SEA117-M026_20260128/0_RawData_gli_and_pld\sea117.26.gli.sub.13.gz to data/SEA117-M026_20260128/realtime_rawnc/sea117.0026.gli.sub.0013.parquet [line 137]
pyglider.seaexplorer:2026-08-13 13:38:49:INFO:data/SEA117-M026_20260128/0_RawData_gli_and_pld\sea117.26.gli.sub.14.gz to data/SEA117-M026_20260128/realtime_rawnc/sea117.0026.gli.sub.0014.parquet [line 137]
pyglider.seaexplorer:2026-08-13 13:38:49:INFO:data/SEA117-M026_20260128/0_RawData_gli_and_pld\sea117.26.gli.sub.15.gz to data/SEA117-M026_20260128/realtime_rawnc/sea117.0026.gli.sub.0015.parquet [line 137]
