yo_number,time_utc,latitude,longitude
1,2026-01-28 21:47:57,21.21773333333333,-158.16153333333332
2,2026-01-28 21:48:07,21.217699999999997,-158.16151666666667
3,2026-01-28 22:14:07,21.216116666666668,-158.15918333333332
4,2026-01-28 22:35:15,21.215016666666664,-158.1566
5,2026-01-29 00:04:19,21.227483333333332,-158.16989999999998
6,2026-01-29 02:12:41,21.222166666666666,-158.1754
7,2026-01-29 07:19:49,21.213616666666667,-158.21205
8,2026-01-29 09:50:34,21.20811666666667,-158.24231666666668
9,2026-01-29 12:06:20,21.20468333333333,-158.27488333333335
10,2026-01-29 14:16:23,21.19605,-158.30758333333333
11,2026-01-29 16:28:43,21.17658333333333,-158.33888333333334
12,2026-01-29 18:48:59,21.183516666666666,-158.31326666666666
13,2026-01-29 23:04:33,21.188983333333333,-158.3459
14,2026-01-30 01:19:23,21.2119,-158.33383333333333
15,2026-01-30 03:10:07,21.236700000000003,-158.32646666666668
16,2026-01-30 05:03:40,21.263,-158.32156666666666
17,2026-01-30 06:59:10,21.289416666666664,-158.31536666666668
18,2026-01-30 08:54:54,21.31495,-158.31198333333333
19,2026-01-30 10:50:27,21.33925,-158.31171666666665
20,2026-01-30 12:43:33,21.36293333333333,-158.31073333333333
21,2026-01-30 14:41:12,21.388333333333335,-158.317
22,2026-01-30 16:28:18,21.41815,-158.31505
23,2026-01-30 18:26:30,21.450466666666664,-158.31291666666667
24,2026-01-30 20:17:43,21.477433333333337,-158.3083
25,2026-01-30 21:23:56,21.4907,-158.30685
26,2026-01-30 22:23:55,21.50261666666667,-158.30456666666666
27,2026-01-30 23:29:45,21.51465,-158.30391666666668
28,2026-01-31 00:29:31,21.52835,-158.30278333333334
29,2026-01-31 01:27:35,21.528299999999998,-158.31334999999999
30,2026-01-31 02:25:08,21.52808333333333,-158.32438333333332
31,2026-01-31 03:25:08,21.526816666666665,-158.3393
32,2026-01-31 05:16:14,21.52235,-158.36986666666664
33,2026-01-31 07:07:51,21.514583333333334,-158.39756666666665
34,2026-01-31 11:13:23,21.49011666666667,-158.41598333333334
35,2026-01-31 15:13:48,21.491233333333337,-158.41625000000002
36,2026-01-31 19:19:15,21.514766666666667,-158.42071666666666
37,2026-01-31 23:23:51,21.490883333333333,-158.42095
38,2026-02-01 03:42:12,21.494950000000003,-158.41101666666665
39,2026-02-01 07:56:14,21.531533333333332,-158.38263333333333
40,2026-02-01 12:05:16,21.51365,-158.35535
41,2026-02-01 16:22:21,21.494216666666663,-158.39010000000002
42,2026-02-01 18:14:42,21.505916666666668,-158.41631666666666
43,2026-02-01 22:46:54,21.48053333333333,-158.40436666666668
44,2026-02-02 03:00:22,21.44606666666667,-158.37463333333332
45,2026-02-02 07:16:43,21.43136666666667,-158.34836666666666
46,2026-02-02 11:34:24,21.405033333333336,-158.3299
47,2026-02-02 11:58:45,21.404133333333334,-158.32555
48,2026-02-02 12:28:10,21.40055,-158.32048333333333
49,2026-02-02 13:11:03,21.394816666666664,-158.31629999999998
50,2026-02-02 18:52:03,21.359833333333334,-158.28556666666665
51,2026-02-03 00:42:49,21.320550000000004,-158.25291666666666
52,2026-02-03 06:10:57,21.289766666666665,-158.22113333333334
53,2026-02-03 11:42:24,21.25378333333333,-158.18923333333333
54,2026-02-03 19:12:23,21.214066666666668,-158.17016666666666
55,2026-02-04 02:08:08,21.25935,-158.1639
56,2026-02-04 08:28:06,21.291283333333332,-158.21833333333333
57,2026-02-04 15:17:50,21.24755,-158.1934
58,2026-02-04 21:50:12,21.23211666666667,-158.1729
59,2026-02-05 02:32:21,21.26598333333333,-158.20721666666668
60,2026-02-05 06:38:42,21.30645,-158.2387
61,2026-02-05 10:52:39,21.34575,-158.27235000000002
62,2026-02-05 14:54:50,21.371899999999997,-158.30745
63,2026-02-05 19:38:19,21.41045,-158.32108333333332
64,2026-02-06 00:01:26,21.38926666666667,-158.30176666666665
65,2026-02-06 04:31:11,21.354316666666666,-158.27751666666666
66,2026-02-06 09:05:13,21.327833333333334,-158.25843333333333
67,2026-02-06 13:35:45,21.35913333333333,-158.2951833333333
68,2026-02-06 18:30:54,21.388416666666664,-158.3170166666667
69,2026-02-06 23:19:36,21.417216666666665,-158.34446666666665
70,2026-02-07 04:39:56,21.448600000000003,-158.37005
71,2026-02-07 08:38:19,21.47511666666667,-158.39533333333333
72,2026-02-07 12:39:19,21.508766666666663,-158.42430000000002
73,2026-02-07 17:09:11,21.47325,-158.4055
74,2026-02-07 21:19:22,21.4505,-158.38346666666666
75,2026-02-08 01:27:49,21.437850000000005,-158.36658333333335
76,2026-02-08 05:39:22,21.418233333333333,-158.34876666666665
77,2026-02-08 10:08:27,21.404983333333334,-158.33056666666667
78,2026-02-08 14:11:51,21.395400000000002,-158.32055
79,2026-02-08 21:18:21,21.365083333333338,-158.29166666666666
80,2026-02-09 04:22:51,21.348666666666666,-158.26653333333334
81,2026-02-09 09:00:41,21.31935,-158.24843333333334
82,2026-02-09 13:38:54,21.294800000000002,-158.22678333333334
83,2026-02-09 18:23:44,21.26221666666667,-158.20226666666667
84,2026-02-09 20:22:39,21.237583333333337,-158.19003333333333
85,2026-02-09 22:32:57,21.227083333333333,-158.16918333333334
86,2026-02-10 00:31:24,21.253850000000003,-158.18801666666667
87,2026-02-10 02:27:50,21.275750000000002,-158.21023333333332
88,2026-02-10 04:24:16,21.29705,-158.22911666666667
