startTime,endTime,latitude,longitude
2026-01-29 03:45:00.644999936,2026-01-29 03:46:13.036000000,21.189373332716396,-158.13589666667002
2026-01-29 03:59:05.280999936,2026-01-29 04:11:57.848999936,21.185998332715997,-158.13410166667
2026-01-29 04:35:19.302000128,2026-01-29 04:49:20.013999872,21.185983332715985,-158.13316666667
2026-01-29 05:32:07.632000000,2026-01-29 05:45:00.020000000,21.18941499938306,-158.13450000000336
2026-01-29 06:37:43.712999936,2026-01-29 06:39:12.038000128,21.191786041895057,-158.13524563028216
2026-01-29 08:31:06.881999872,2026-01-29 08:45:32.032000000,21.20590333271837,-158.14303500000332
2026-01-29 10:38:05.029999872,2026-01-29 10:53:32.028999936,21.217688332719785,-158.15700666666996
2026-01-29 13:42:16.627000064,2026-01-29 15:03:22.029999872,21.210596666052258,-158.1787083333366
2026-01-29 19:07:00.457999872,2026-01-29 19:19:21.016999936,21.199284999384226,-158.19836500000318
2026-01-29 23:16:36.671000064,2026-01-29 23:33:33.023000064,21.192103332716652,-158.22674333333643
2026-01-30 03:39:11.246000128,2026-01-30 04:08:13.015000064,21.194703332716948,-158.25821166666967
2026-01-30 07:16:59.360000000,2026-01-30 07:31:51.017999872,21.1874316660494,-158.28366166666962
2026-01-30 09:19:14.236999936,2026-01-30 09:20:27.040999936,21.184616666049063,-158.290049201099
2026-01-30 12:25:50.706000128,2026-01-30 12:41:26.028000000,21.19349666605011,-158.3025416666695
2026-01-30 15:50:09.938999808,2026-01-30 16:08:35.020000000,21.22227333272025,-158.30502333333615
2026-01-30 19:10:59.664000000,2026-01-30 19:27:56.029999872,21.248844999390123,-158.3037033333362
2026-01-30 22:33:33.692000000,2026-01-30 22:53:26.015000064,21.270996666059453,-158.30245333333616
2026-01-31 04:42:07.382999808,2026-01-31 05:01:57.032000000,21.336263332734013,-158.29993166666944
2026-01-31 10:52:38.585999872,2026-01-31 11:19:47.352000000,21.40579833274245,-158.3102616666694
2026-01-31 17:07:38.730000128,2026-01-31 17:25:03.500999936,21.46700333274988,-158.31000833333604
2026-01-31 23:21:07.956999936,2026-01-31 23:42:55.012999936,21.505684999421277,-158.29400666666942
2026-02-01 02:15:09.032000000,2026-02-01 02:25:32.017999872,21.503494999420983,-158.31427500000265
2026-02-01 04:54:08.312999936,2026-02-01 05:09:47.012999936,21.51492499942238,-158.34571333333588
2026-02-01 08:48:02.693000192,2026-02-01 09:02:04.023000064,21.51424666608893,-158.39243333333573
2026-02-01 12:44:31.908999936,2026-02-01 13:01:40.015000064,21.4806633327515,-158.38842666666903
2026-02-01 14:35:04.083000064,2026-02-01 14:48:05.040999936,21.46521666608297,-158.3800766666691
2026-02-01 16:24:09.849999872,2026-02-01 16:42:27.043000064,21.457154999415312,-158.37598000000244
2026-02-01 17:41:16.301000192,2026-02-01 17:50:18.036999936,21.45763999941537,-158.37432000000246
2026-02-01 18:51:25.519000064,2026-02-01 19:03:50.374000128,21.45632666608188,-158.37419666666912
2026-02-01 20:05:19.524000000,2026-02-01 20:23:48.508000000,21.45607166608185,-158.37432000000246
2026-02-01 21:29:56.756000000,2026-02-01 21:44:21.010999808,21.45557499941513,-158.37102666666914
2026-02-01 23:51:03.128000000,2026-02-02 00:01:34.022000128,21.44731499941412,-158.36448500000247
2026-02-02 02:24:10.736999936,2026-02-02 02:40:15.008000000,21.437439999412916,-158.35268833333586
