profile_index,profile_direction,profile_phase,start_time,end_time,start_depth,end_depth,min_depth,max_depth,depth_range,min_lon,max_lon,min_lat,max_lat,distance_traveled,num_points,time_at_surface_s,profile_duration_s
0.5,0.0,surfacing,2026-01-29 03:45:00.644999936,2026-01-29 03:46:13.036000000,0.021700000390410423,0.0731000006198883,0.02019999921321869,0.13689999282360077,0.11669999361038208,-158.13589666667002,-158.13584000000336,21.189373332716393,21.1894183327164,,92,71,72.391000064
1.0,1.0,descent,2026-01-29 03:46:14.002000128,2026-01-29 03:51:57.022000128,0.0786999985575676,55.96419906616211,0.0786999985575676,55.96419906616211,55.88549906760454,-158.13607077921577,-158.13573000000335,21.188907790135993,21.189351666049728,,429,44,343.02
1.5,0.0,inflection,2026-01-29 03:51:57.520000000,2026-01-29 03:52:17.540999936,55.970699310302734,55.86320114135742,55.85749816894531,55.970699310302734,0.11320114135742188,-158.13615419224612,-158.13608506191906,21.188927733102606,21.18893741953992,,26,0,20.020999936
2.0,-1.0,ascent,2026-01-29 03:52:18.022000128,2026-01-29 03:59:05.083000064,55.85319900512695,1.2128000259399414,1.2128000259399414,55.85319900512695,54.64039897918701,-158.13642870113588,-158.13616834126938,21.18893935209791,21.189049845099316,,508,44,407.060999936
2.5,0.0,surfacing,2026-01-29 03:59:05.280999936,2026-01-29 04:11:57.848999936,0.018200000748038292,0.07959999889135361,0.0,0.08980000019073486,0.08980000019073486,-158.13410166667,-158.13289833333667,21.185998332715993,21.187279999382802,,700,772,772.568
3.0,1.0,descent,2026-01-29 04:11:58.117000192,2026-01-29 04:23:10.301000192,0.11429999768733978,105.61360168457031,0.11429999768733978,105.61360168457031,105.49930168688297,-158.13328567792513,-158.13277000000335,21.18571198824448,21.186271671780204,,840,48,672.184
3.5,0.0,inflection,2026-01-29 04:23:10.884000000,2026-01-29 04:23:10.884000000,105.62969970703125,105.62969970703125,105.62969970703125,105.62969970703125,0.0,-158.13328653049282,-158.13328653049282,21.186197755824,21.186197755824,0.0,1,0,0.0
4.0,-1.0,ascent,2026-01-29 04:23:11.301000192,2026-01-29 04:35:18.457999872,105.61060333251953,0.030799999833106995,0.030799999833106995,105.61060333251953,105.57980333268642,-158.13363394448643,-158.13328763575728,21.186153111954482,21.18656894600765,,908,68,727.15699968
4.5,0.0,surfacing,2026-01-29 04:35:19.302000128,2026-01-29 04:49:20.013999872,0.02319999970495701,0.07930000126361847,0.0,0.1071000024676323,0.1071000024676323,-158.13316666667,-158.13199833333667,21.185983332715985,21.186906666049428,,649,840,840.711999744
5.0,1.0,descent,2026-01-29 04:49:21.008000000,2026-01-29 05:11:13.200000000,0.13539999723434448,205.01449584960938,0.13539999723434448,205.01449584960938,204.87909585237503,-158.1332176344018,-158.13197833333672,21.185770845320135,21.186955903283387,,1640,48,1312.192
