timestamp,lat,lon
2026-01-28T21:38:51Z,21.219716666666667,-158.16253333333333
2026-01-28T21:39:01Z,21.219716666666667,-158.16253333333333
2026-01-28T21:39:11Z,21.219716666666667,-158.16253333333333
2026-01-28T21:39:21Z,21.219716666666667,-158.16253333333333
2026-01-28T21:39:31Z,21.219699999999996,-158.16253333333333
2026-01-28T21:39:41Z,21.219699999999996,-158.16253333333333
2026-01-28T21:39:51Z,21.219699999999996,-158.16251666666668
2026-01-28T21:47:17Z,21.21915,-158.16285000000002
2026-01-28T21:47:27Z,21.21915,-158.16285000000002
2026-01-28T21:47:47Z,21.21915,-158.16285000000002
2026-01-28T21:47:57Z,21.21773333333333,-158.16153333333332
2026-01-28T21:48:07Z,21.217699999999997,-158.16151666666667
2026-01-28T21:48:17Z,21.217633333333332,-158.16146666666666
2026-01-28T21:48:44Z,21.21755,-158.16143333333332
2026-01-28T21:49:15Z,21.217533333333336,-158.16141666666667
2026-01-28T21:49:35Z,21.217483333333334,-158.16138333333336
2026-01-28T21:49:55Z,21.21745,-158.16135
2026-01-28T21:50:59Z,21.217249999999996,-158.1612
2026-01-28T21:53:05Z,21.216866666666668,-158.16093333333336
2026-01-28T21:55:42Z,21.216350000000002,-158.16060000000002
2026-01-28T21:56:02Z,21.216316666666664,-158.16056666666665
2026-01-28T21:56:22Z,21.21626666666667,-158.16053333333332
2026-01-28T21:56:42Z,21.216216666666664,-158.16048333333336
2026-01-28T21:57:02Z,21.216150000000003,-158.16043333333334
2026-01-28T21:57:22Z,21.216099999999997,-158.1604
2026-01-28T21:57:34Z,21.216066666666666,-158.16036666666665
2026-01-28T21:57:54Z,21.216,-158.1603166666667
2026-01-28T21:58:14Z,21.21595,-158.16028333333333
2026-01-28T21:58:34Z,21.215883333333334,-158.16023333333334
2026-01-28T21:58:54Z,21.21581666666667,-158.16019999999997
2026-01-28T21:59:14Z,21.215766666666664,-158.16016666666667
2026-01-28T21:59:26Z,21.215733333333333,-158.16013333333333
2026-01-28T21:59:46Z,21.215733333333333,-158.16013333333333
2026-01-28T21:59:56Z,21.215733333333333,-158.16013333333333
2026-01-28T22:00:06Z,21.215733333333333,-158.16013333333333
2026-01-28T22:00:16Z,21.215733333333333,-158.16013333333333
2026-01-28T22:00:26Z,21.215733333333333,-158.16013333333333
2026-01-28T22:00:36Z,21.215733333333333,-158.16013333333333
2026-01-28T22:13:27Z,21.218200000000003,-158.16098333333332
2026-01-28T22:13:37Z,21.218200000000003,-158.16098333333332
2026-01-28T22:13:47Z,21.218200000000003,-158.16098333333332
2026-01-28T22:13:57Z,21.216150000000003,-158.15921666666665
2026-01-28T22:14:07Z,21.216116666666668,-158.15918333333332
2026-01-28T22:14:17Z,21.216033333333332,-158.15911666666668
2026-01-28T22:14:48Z,21.21595,-158.15905
2026-01-28T22:15:19Z,21.215933333333336,-158.15905
2026-01-28T22:15:38Z,21.21586666666667,-158.15901666666664
2026-01-28T22:15:58Z,21.21581666666667,-158.1589666666667
2026-01-28T22:16:34Z,21.21571666666667,-158.15888333333334
2026-01-28T22:17:37Z,21.21553333333333,-158.15873333333332
2026-01-28T22:18:53Z,21.215300000000003,-158.15856666666664
2026-01-28T22:19:13Z,21.21526666666667,-158.15851666666669
2026-01-28T22:19:33Z,21.215216666666667,-158.15848333333332
2026-01-28T22:19:53Z,21.21515,-158.15843333333333
2026-01-28T22:20:13Z,21.2151,-158.15838333333335
2026-01-28T22:20:33Z,21.215049999999998,-158.15833333333333
2026-01-28T22:20:55Z,21.21496666666667,-158.1583
2026-01-28T22:21:15Z,21.214850000000002,-158.15818333333334
2026-01-28T22:21:44Z,21.21483333333333,-158.15816666666666
2026-01-28T22:22:04Z,21.214783333333337,-158.15811666666664
2026-01-28T22:22:16Z,21.214750000000002,-158.15810000000002
2026-01-28T22:22:36Z,21.214750000000002,-158.15810000000002
2026-01-28T22:22:46Z,21.214750000000002,-158.15810000000002
2026-01-28T22:22:56Z,21.214750000000002,-158.15810000000002
2026-01-28T22:23:06Z,21.214750000000002,-158.15810000000002
2026-01-28T22:23:16Z,21.214750000000002,-158.15810000000002
2026-01-28T22:34:45Z,21.217033333333333,-158.15801666666667
2026-01-28T22:34:55Z,21.217033333333333,-158.15801666666667
2026-01-28T22:35:05Z,21.215016666666664,-158.1566
2026-01-28T22:35:15Z,21.215016666666664,-158.1566
2026-01-28T22:35:25Z,21.214933333333338,-158.15651666666665
2026-01-28T22:35:53Z,21.21483333333333,-158.15645
2026-01-28T22:36:22Z,21.21483333333333,-158.15643333333335
2026-01-28T22:36:44Z,21.214750000000002,-158.15638333333334
2026-01-28T22:37:04Z,21.21468333333333,-158.15633333333332
2026-01-28T22:37:49Z,21.21455,-158.15623333333332
2026-01-28T22:38:53Z,21.21435,-158.1561
2026-01-28T22:41:06Z,21.21393333333333,-158.15581666666668
2026-01-28T22:41:28Z,21.213883333333335,-158.15578333333332
2026-01-28T22:41:52Z,21.2138,-158.15573333333333
2026-01-28T22:42:04Z,21.213783333333335,-158.1557
2026-01-28T22:42:24Z,21.213783333333335,-158.1557
2026-01-28T22:42:34Z,21.213783333333335,-158.1557
2026-01-28T22:42:44Z,21.213783333333335,-158.1557
2026-01-28T22:42:54Z,21.213766666666668,-158.1557
2026-01-28T22:43:04Z,21.213766666666668,-158.15568333333334
2026-01-29T00:03:49Z,21.227833333333333,-158.16908333333333
2026-01-29T00:04:00Z,21.227833333333333,-158.16908333333333
2026-01-29T00:04:10Z,21.227516666666663,-158.16996666666668
2026-01-29T00:04:19Z,21.227483333333332,-158.16989999999998
2026-01-29T00:04:29Z,21.227449999999997,-158.16981666666666
2026-01-29T00:05:00Z,21.227383333333332,-158.16978333333333
2026-01-29T00:05:26Z,21.22735,-158.16975
2026-01-29T00:05:46Z,21.2273,-158.1697166666667
2026-01-29T00:06:06Z,21.227233333333334,-158.16966666666667
2026-01-29T00:06:14Z,21.227233333333334,-158.16966666666667
2026-01-29T00:06:21Z,21.2272,-158.16963333333334
2026-01-29T00:06:34Z,21.22716666666667,-158.1696
2026-01-29T00:06:54Z,21.227133333333335,-158.16958333333332
2026-01-29T00:07:14Z,21.227083333333333,-158.16956666666667
2026-01-29T00:07:29Z,21.227050000000002,-158.16951666666668
2026-01-29T00:08:32Z,21.2269,-158.16943333333333
2026-01-29T00:09:35Z,21.22675,-158.16933333333333
2026-01-29T00:11:53Z,21.226350000000004,-158.16906666666668
2026-01-29T00:12:29Z,21.2263,-158.16903333333332
2026-01-29T00:12:52Z,21.226266666666668,-158.16899999999998
2026-01-29T00:13:12Z,21.226200000000002,-158.16895000000002
2026-01-29T00:13:40Z,21.22618333333333,-158.16893333333334
2026-01-29T00:14:00Z,21.22615,-158.16891666666666
2026-01-29T00:14:23Z,21.226083333333335,-158.16888333333333
2026-01-29T00:14:43Z,21.22605,-158.16885
2026-01-29T00:15:03Z,21.226,-158.1688
