time,longitude,latitude
2026-01-29T21:25:56.999847Z,-158.29424,21.1915662
2026-01-29T21:27:14.999846Z,-158.29410529999998,21.1914722
2026-01-29T22:27:38.500212Z,-158.29559179999998,21.1907057
2026-01-29T22:28:56.000211Z,-158.2954256,21.1906379
2026-01-29T23:28:39.000097Z,-158.29757899999998,21.1878598
2026-01-30T00:28:59.999548Z,-158.30069799999998,21.1849779
2026-01-30T00:30:44.999546Z,-158.3005215,21.1847827
2026-01-30T01:39:14.000396Z,-158.30422199999998,21.1808829
2026-01-30T02:48:29.000321Z,-158.3202334,21.177469
2026-01-30T04:06:30.000046Z,-158.3231744,21.186505099999998
2026-01-30T04:07:31.000046Z,-158.3231956,21.1863936
2026-01-30T05:23:25.000322Z,-158.32135399999999,21.1964161
2026-01-30T06:37:12.999809Z,-158.31854099999998,21.208928099999998
2026-01-30T06:42:37.999796Z,-158.318176,21.2088544
2026-01-30T09:08:45.999698Z,-158.31191379999999,21.236547599999998
2026-01-30T11:36:13.999787Z,-158.31659829999998,21.2564899
2026-01-30T14:02:57.999657Z,-158.32638459999998,21.270875
2026-01-30T16:16:48.999771Z,-158.31090369999998,21.2829954
2026-01-30T16:23:04.999516Z,-158.311113,21.2826283
2026-01-30T16:33:48.999561Z,-158.3112993,21.282346399999998
2026-01-30T16:40:51.000226Z,-158.3116119,21.2816129
2026-01-30T16:46:22.000364Z,-158.3119022,21.2814327
2026-01-30T16:53:03.984035Z,-158.3117957,21.2811174
2026-01-30T18:22:08.499668Z,-158.32902439999998,21.284077
2026-01-30T18:23:16.999667Z,-158.3290795,21.2840977
2026-01-30T19:47:38.499501Z,-158.32460609999998,21.3009605
2026-01-30T19:53:35.000093Z,-158.3238677,21.3010201
2026-01-30T21:22:30.000127Z,-158.3130498,21.321648099999997
2026-01-30T21:25:11.999701Z,-158.3126829,21.321594899999997
2026-01-30T22:51:32.989015Z,-158.3124301,21.335300999999998
2026-01-30T22:52:34.000014Z,-158.31230979999998,21.3352067
