dive_index,start_time,end_time,duration_s,start_latitude,start_longitude,end_latitude,end_longitude,distance_m,max_depth_m,num_yos,end_battery_capacity,batteryPercent,batteryVoltage,diskSpaceRemainingMb,diskSpaceRemainingPercent
33,2026-01-29T06:37:52.000000Z,2026-01-29T07:13:49.500000Z,2157.5,21.19107,-158.17058,21.190342,-158.17628,596.47,192.341,1,20570,98.0,3538.0,55921.0,99.0
34,2026-01-29T07:37:47.000000Z,2026-01-29T08:16:09.700000Z,2302.7,21.189766,-158.17238,21.190598,-158.17783,572.56,191.315,1,20533,97.0,3543.0,55914.0,99.0
35,2026-01-29T08:19:33.000000Z,2026-01-29T08:55:21.400000Z,2148.4,21.190546,-158.1774,21.192276,-158.18312,623.45,191.169,1,20515,97.0,3548.0,55910.0,99.0
36,2026-01-29T08:56:29.000000Z,2026-01-29T09:34:31.200000Z,2282.2,21.192682,-158.18239,21.193567,-158.18893,685.14,192.423,1,20497,97.0,3545.0,55905.0,99.0
37,2026-01-29T09:36:43.000000Z,2026-01-29T10:12:50.099999Z,2167.1,21.193565,-158.18854,21.194717,-158.19492,673.73,192.231,1,20399,97.0,3535.0,55901.0,99.0
38,2026-01-29T10:15:16.000000Z,2026-01-29T10:51:00.799999Z,2144.8,21.194687,-158.19463,21.195866,-158.20088,661.09,191.242,1,20460,97.0,3545.0,55897.0,99.0
39,2026-01-29T10:55:51.000000Z,2026-01-29T11:31:21.099999Z,2130.1,21.195507,-158.2002,21.196636,-158.20628,642.71,191.37,1,20443,97.0,3548.0,55893.0,99.0
40,2026-01-29T11:32:20.000000Z,2026-01-29T12:08:56.000000Z,2196.0,21.19655,-158.2061,21.197674,-158.21274,699.63,191.645,1,20428,97.0,3548.0,55888.0,99.0
41,2026-01-29T12:09:44.000000Z,2026-01-29T12:45:39.299999Z,2155.3,21.197538,-158.21269,21.19875,-158.2196,728.93,191.215,1,20411,97.0,3548.0,55884.0,99.0
42,2026-01-29T12:47:10.000000Z,2026-01-29T13:24:01.099999Z,2211.1,21.1986,-158.21954,21.200054,-158.22691,780.97,191.279,1,20395,97.0,3548.0,55880.0,99.0
43,2026-01-29T13:24:54.000000Z,2026-01-29T14:00:21.000000Z,2127.0,21.199924,-158.22688,21.201094,-158.23329,677.14,192.341,1,20297,97.0,3548.0,55876.0,99.0
44,2026-01-29T14:03:57.000000Z,2026-01-29T14:39:46.200000Z,2149.2,21.200737,-158.23322,21.202753,-158.23943,681.69,191.178,1,20357,97.0,3548.0,55871.0,99.0
45,2026-01-29T14:42:28.000000Z,2026-01-29T15:17:44.200000Z,2116.2,21.202456,-158.23924,21.202621,-158.24687,791.2,191.096,1,20339,97.0,3548.0,55867.0,99.0
46,2026-01-29T15:19:01.000000Z,2026-01-29T15:54:54.400000Z,2153.4,21.202505,-158.24693,21.202087,-158.2553,868.95,192.478,1,20322,96.0,3548.0,55863.0,99.0
47,2026-01-29T15:57:19.000000Z,2026-01-29T16:31:41.900000Z,2062.9,21.201952,-158.25513,21.200727,-158.26172,696.62,191.48,1,20302,96.0,3548.0,55859.0,99.0
48,2026-01-29T16:33:00.000000Z,2026-01-29T17:08:11.200000Z,2111.2,21.200645,-158.26164,21.199425,-158.26859,733.16,191.105,1,20286,96.0,3548.0,55855.0,99.0
49,2026-01-29T17:08:58.000000Z,2026-01-29T17:45:18.200000Z,2180.2,21.199408,-158.26859,21.197802,-158.27502,690.11,191.334,1,20269,96.0,3548.0,55851.0,99.0
50,2026-01-29T17:46:13.000000Z,2026-01-29T18:27:42.500000Z,2489.5,21.197762,-158.27489,21.195814,-158.28064,634.25,191.91,1,20250,96.0,3548.0,55846.0,99.0
51,2026-01-29T18:32:31.000000Z,2026-01-29T19:14:30.299999Z,2519.3,21.195683,-158.28001,21.194351,-158.28444,482.56,191.022,1,20232,96.0,3548.0,55841.0,99.0
52,2026-01-29T19:17:32.000000Z,2026-01-29T19:59:22.099999Z,2510.1,21.194195,-158.28404,21.19346,-158.28847,466.49,191.691,1,20210,96.0,3548.0,55836.0,99.0
53,2026-01-29T20:00:51.000000Z,2026-01-29T20:41:49.799999Z,2458.8,21.193335,-158.28821,21.192327,-158.29167,375.82,191.132,1,20144,96.0,3548.0,55831.0,99.0
54,2026-01-29T20:44:47.000000Z,2026-01-29T21:25:45.900000Z,2458.9,21.192184,-158.29112,21.191566,-158.29424,330.69,191.022,1,20171,96.0,3545.0,55826.0,99.0
55,2026-01-29T21:27:15.000000Z,2026-01-29T22:27:09.000000Z,3594.0,21.191473,-158.2941,21.190706,-158.2956,177.37,190.867,1,20151,96.0,3555.0,55820.0,99.0
56,2026-01-29T22:28:56.000000Z,2026-01-29T23:27:48.500000Z,3532.5,21.190638,-158.29543,21.188007,-158.29755,365.92,190.848,1,20130,96.0,3555.0,55813.0,99.0
57,2026-01-29T23:28:39.000000Z,2026-01-30T00:28:24.299999Z,3585.3,21.18786,-158.29758,21.184978,-158.3007,455.34,191.453,1,20108,95.0,3555.0,55806.0,99.0
58,2026-01-30T00:30:45.000000Z,2026-01-30T01:30:38.500000Z,3593.5,21.184782,-158.30052,21.182083,-158.30478,534.0,191.086,1,20087,95.0,3555.0,55799.0,99.0
59,2026-01-30T01:39:14.000000Z,2026-01-30T02:47:35.599999Z,4101.6,21.180883,-158.30421,21.177534,-158.32025,1704.28,201.221,2,20050,95.0,3550.0,55790.0,99.0
60,2026-01-30T02:48:29.000000Z,2026-01-30T04:05:49.599999Z,4640.6,21.17747,-158.32024,21.186504,-158.32318,1049.77,201.404,2,20015,95.0,3550.0,55781.0,99.0
61,2026-01-30T04:07:31.000000Z,2026-01-30T05:22:33.000000Z,4502.0,21.186394,-158.3232,21.196457,-158.32137,1134.93,201.212,2,19980,95.0,3550.0,55773.0,99.0
62,2026-01-30T05:23:25.000000Z,2026-01-30T06:36:58.500000Z,4413.5,21.196417,-158.32135,21.208927,-158.31854,1421.22,202.585,2,19944,95.0,3548.0,55765.0,99.0
63,2026-01-30T06:42:38.000000Z,2026-01-30T09:07:27.700000Z,8689.7,21.208855,-158.31818,21.236559,-158.31201,3146.23,200.526,4,19883,94.0,3550.0,55749.0,99.0
64,2026-01-30T09:08:45.900000Z,2026-01-30T11:34:42.599999Z,8756.7,21.236547,-158.31192,21.256617,-158.31667,2285.33,200.498,4,19823,94.0,3548.0,55734.0,99.0
65,2026-01-30T11:36:14.000000Z,2026-01-30T14:01:11.799999Z,8697.8,21.25649,-158.3166,21.271055,-158.32643,1913.26,200.434,4,19727,94.0,3550.0,55719.0,99.0
